NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
04690611,900000,40000,,1
04690611,900030,1885,,1
04690611,980000,41885,,1
04690611,980010,2,,1
04690611,980020,28,,1
04690611,980030,1,,1
04690611,980040,1,,1
04690611,980220,100,,1
04690611,980260,100,,1
04690611,980270,100,,1
04690611,980286,100,,1
04690611,980300,100,,1
04690611,980330,100,,1
04690612,900000,40000,,1
04690612,900030,1885,,1
04690612,980000,41885,,1
04690612,980010,2,,1
04690612,980020,28,,1
04690612,980030,1,,1
04690612,980040,1,,1
04690612,980220,100,,1
04690612,980260,100,,1
04690612,980270,100,,1
04690612,980286,100,,1
04690612,980300,100,,1
04690612,980330,100,,1
04690621,800931,7338,,1
04690621,800932,7000,,1
04690621,800940,10249,,1
04690621,900000,132577,,1
04690621,900160,700,,1
04690621,900180,10,,1
04690621,980000,133287,,1
04690621,980010,3,,1
04690621,980020,42,,1
04690621,980030,2,,1
04690621,980040,6,,1
04690621,980050,1,,1
04690621,980210,100,,1
04690621,980260,100,,1
04690621,980281,100,,1
04690621,980286,100,,1
04690621,980310,100,,1
04690621,980330,100,,1
04690622,800931,7809,,1
04690622,800932,7000,,1
04690622,800940,10846,,1
04690622,900000,140376,,1
04690622,900160,700,,1
04690622,900180,10,,1
04690622,980000,141086,,1
04690622,980010,3,,1
04690622,980020,42,,1
04690622,980030,2,,1
04690622,980040,6,,1
04690622,980050,1,,1
04690622,980210,100,,1
04690622,980260,100,,1
04690622,980281,100,,1
04690622,980286,100,,1
04690622,980310,100,,1
04690622,980330,100,,1
04690661,800931,933,,1
04690661,800940,3917,,1
04690661,900000,39200,,1
04690661,900030,28044,,1
04690661,900160,6000,,1
04690661,900170,15600,,1
04690661,980000,88844,,1
04690661,980010,2,,1
04690661,980020,80,,1
04690661,980030,1,,1
04690661,980040,2,,1
04690661,980060,2,,1
04690661,980090,100,,1
04690661,980210,100,,1
04690661,980230,100,,1
04690661,980281,100,,1
04690661,980286,100,,1
04690661,980300,100,,1
04690661,980330,100,,1
04690662,800931,933,,1
04690662,800940,3917,,1
04690662,900000,39200,,1
04690662,900030,28044,,1
04690662,900160,6000,,1
04690662,900170,15600,,1
04690662,980000,88844,,1
04690662,980010,2,,1
04690662,980020,80,,1
04690662,980030,1,,1
04690662,980040,2,,1
04690662,980060,2,,1
04690662,980090,100,,1
04690662,980210,100,,1
04690662,980230,100,,1
04690662,980281,100,,1
04690662,980286,100,,1
04690662,980300,100,,1
04690662,980330,100,,1
04690681,900030,8284,,1
04690681,980000,8284,,1
04690681,980010,1,,1
04690681,980020,68,,1
04690681,980040,2,,1
04690681,980060,1,,1
04690681,980210,100,,1
04690681,980260,100,,1
04690681,980270,100,,1
04690681,980286,100,,1
04690681,980300,100,,1
04690681,980330,100,,1
04690682,900030,12745,,1
04690682,980000,12745,,1
04690682,980010,1,,1
04690682,980020,68,,1
04690682,980040,2,,1
04690682,980060,1,,1
04690682,980210,100,,1
04690682,980260,100,,1
04690682,980270,100,,1
04690682,980286,100,,1
04690682,980300,100,,1
04690682,980330,100,,1
04690701,900140,2500,,1
04690701,900150,6420,,1
04690701,900160,2100,,1
04690701,980000,11020,,1
04690701,980010,4,,1
04690701,980020,31,,1
04690701,980030,1,,1
04690701,980040,1,,1
04690701,980050,3,,1
04690701,980220,100,,1
04690701,980260,100,,1
04690701,980281,100,,1
04690701,980285,100,,1
04690701,980300,100,,1
04690701,980330,100,,1
04690702,900140,2500,,1
04690702,900150,6420,,1
04690702,900160,2100,,1
04690702,980000,11020,,1
04690702,980010,4,,1
04690702,980020,31,,1
04690702,980030,1,,1
