"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1076521,"800940","1",4570,,"1"
1076521,"800940","1",6056,,"2"
1076521,"800940","1",5004,,"3"
1076521,"800940","1",5163,,"4"
1076521,"800940","1",4910,,"5"
1076521,"900000","1",59735,,"1"
1076521,"900000","1",79163,,"2"
1076521,"900000","1",65411,,"3"
1076521,"900000","1",67485,,"4"
1076521,"900000","1",64179,,"5"
1076521,"900030","1",7572,,"1"
1076521,"900030","1",7572,,"2"
1076521,"900030","1",7572,,"3"
1076521,"900030","1",7572,,"4"
1076521,"900030","1",7572,,"5"
1076521,"950002","1",4855,,"1"
1076521,"950002","1",4855,,"2"
1076521,"950002","1",4855,,"3"
1076521,"950002","1",4855,,"4"
1076521,"950002","1",4855,,"5"
1076521,"950012","1",2285,,"1"
1076521,"950012","1",2285,,"2"
1076521,"950012","1",2285,,"3"
1076521,"950012","1",2285,,"4"
1076521,"950012","1",2285,,"5"
1076521,"980000","1",67307,,"1"
1076521,"980000","1",86735,,"2"
1076521,"980000","1",72983,,"3"
1076521,"980000","1",75057,,"4"
1076521,"980000","1",71751,,"5"
1076521,"980070","1",60167,,"1"
1076521,"980070","1",79595,,"2"
1076521,"980070","1",65843,,"3"
1076521,"980070","1",67917,,"4"
1076521,"980070","1",64611,,"5"
1076522,"800940","1",5761,,"1"
1076522,"800940","1",5526,,"2"
1076522,"800940","1",5182,,"3"
1076522,"800940","1",4182,,"4"
1076522,"800940","1",3676,,"5"
1076522,"900000","1",75313,,"1"
1076522,"900000","1",72241,,"2"
1076522,"900000","1",67743,,"3"
1076522,"900000","1",54662,,"4"
1076522,"900000","1",48048,,"5"
1076522,"900030","1",7572,,"1"
1076522,"900030","1",7572,,"2"
1076522,"900030","1",7572,,"3"
1076522,"900030","1",7572,,"4"
1076522,"900030","1",7572,,"5"
1076522,"950002","1",4855,,"1"
1076522,"950002","1",4855,,"2"
1076522,"950002","1",4855,,"3"
1076522,"950002","1",4855,,"4"
1076522,"950002","1",4855,,"5"
1076522,"950012","1",2285,,"1"
1076522,"950012","1",2285,,"2"
1076522,"950012","1",2285,,"3"
1076522,"950012","1",2285,,"4"
1076522,"950012","1",2285,,"5"
1076522,"980000","1",82885,,"1"
1076522,"980000","1",79813,,"2"
1076522,"980000","1",75315,,"3"
1076522,"980000","1",62234,,"4"
1076522,"980000","1",55620,,"5"
1076522,"980070","1",75745,,"1"
1076522,"980070","1",72673,,"2"
1076522,"980070","1",68175,,"3"
1076522,"980070","1",55094,,"4"
1076522,"980070","1",48480,,"5"
1081791,"800940","1",2546,,"1"
1081791,"800940","1",2546,,"2"
1081791,"800940","1",2546,,"3"
1081791,"800940","1",2546,,"4"
1081791,"800940","1",2546,,"5"
1081791,"900000","1",33280,,"1"
1081791,"900000","1",33280,,"2"
1081791,"900000","1",33280,,"3"
1081791,"900000","1",33280,,"4"
1081791,"900000","1",33280,,"5"
1081791,"900080","1",98,,"1"
1081791,"900080","1",141,,"2"
1081791,"900080","1",43,,"3"
1081791,"900080","1",143,,"4"
1081791,"900080","1",116,,"5"
1081791,"980000","1",33378,,"1"
1081791,"980000","1",33421,,"2"
1081791,"980000","1",33323,,"3"
1081791,"980000","1",33423,,"4"
