"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1043052,"980000","1",19423,,"4"
1043052,"980000","1",19423,,"5"
1043052,"980070","1",19423,,"1"
1043052,"980070","1",19423,,"2"
1043052,"980070","1",19423,,"3"
1043052,"980070","1",19423,,"4"
1043052,"980070","1",19423,,"5"
1045731,"900030","1",11993,,"1"
1045731,"900030","1",11993,,"2"
1045731,"900030","1",11993,,"3"
1045731,"900030","1",11993,,"4"
1045731,"900030","1",11993,,"5"
1045731,"980000","1",11993,,"1"
1045731,"980000","1",11993,,"2"
1045731,"980000","1",11993,,"3"
1045731,"980000","1",11993,,"4"
1045731,"980000","1",11993,,"5"
1045731,"980070","1",12043,,"1"
1045731,"980070","1",12043,,"2"
1045731,"980070","1",12043,,"3"
1045731,"980070","1",12043,,"4"
1045731,"980070","1",12043,,"5"
1045732,"900030","1",11993,,"1"
1045732,"900030","1",11993,,"2"
1045732,"900030","1",11993,,"3"
1045732,"900030","1",11993,,"4"
1045732,"900030","1",11993,,"5"
1045732,"980000","1",11993,,"1"
1045732,"980000","1",11993,,"2"
1045732,"980000","1",11993,,"3"
1045732,"980000","1",11993,,"4"
1045732,"980000","1",11993,,"5"
1045732,"980070","1",12043,,"1"
1045732,"980070","1",12043,,"2"
1045732,"980070","1",12043,,"3"
1045732,"980070","1",12043,,"4"
1045732,"980070","1",12043,,"5"
1043302,"800940","1",6120,,"1"
1043302,"800940","1",6120,,"2"
1043302,"800940","1",6120,,"3"
1043302,"800940","1",6120,,"4"
1043302,"800940","1",6120,,"5"
1043302,"900000","1",58000,,"1"
1043302,"900000","1",58000,,"2"
1043302,"900000","1",58000,,"3"
1043302,"900000","1",58000,,"4"
1043302,"900000","1",58000,,"5"
1043302,"900010","1",11000,,"1"
1043302,"900010","1",11000,,"2"
1043302,"900010","1",11000,,"3"
1043302,"900010","1",11000,,"4"
1043302,"900010","1",11000,,"5"
1043302,"900080","1",3500,,"1"
1043302,"900080","1",3500,,"2"
1043302,"900080","1",3500,,"3"
1043302,"900080","1",3500,,"4"
1043302,"900080","1",3500,,"5"
1043302,"950002","1",9165,,"1"
1043302,"950002","1",9165,,"2"
1043302,"950002","1",9165,,"3"
1043302,"950002","1",9165,,"4"
1043302,"950002","1",9165,,"5"
1043302,"950012","1",2391,,"1"
1043302,"950012","1",2391,,"2"
1043302,"950012","1",2391,,"3"
1043302,"950012","1",2391,,"4"
1043302,"950012","1",2391,,"5"
1043302,"980000","1",72500,,"1"
1043302,"980000","1",72500,,"2"
1043302,"980000","1",72500,,"3"
1043302,"980000","1",72500,,"4"
