"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
1135031,"800932",4400,,"1"
1135031,"800940",10252,,"1"
1135031,"900000",134000,,"1"
1135031,"900080",50,,"1"
1135031,"910010",300,,"1"
1135031,"950002",11724,,"1"
1135031,"950003",600,,"1"
1135031,"950012",5462,,"1"
1135031,"950013",90,,"1"
1135031,"950021",160,,"1"
1135031,"980000",134050,,"1"
1135031,"980010",4,,"1"
1135031,"980020",47,,"1"
1135031,"980030",2,,"1"
1135031,"980040",3,,"1"
1135031,"980050",2,,"1"
1135031,"980070",116014,,"1"
1135031,"980090",100,,"1"
1135031,"980210",100,,"1"
1135031,"980230",100,,"1"
1135031,"980281",100,,"1"
1135031,"980286",100,,"1"
1135031,"980310",100,,"1"
1135031,"980330",100,,"1"
1135032,"800932",4400,,"1"
1135032,"800940",10252,,"1"
1135032,"900000",134000,,"1"
1135032,"900080",50,,"1"
1135032,"910010",300,,"1"
1135032,"950002",11724,,"1"
1135032,"950003",600,,"1"
1135032,"950012",5462,,"1"
1135032,"950013",90,,"1"
1135032,"950021",160,,"1"
1135032,"980000",134050,,"1"
1135032,"980010",4,,"1"
1135032,"980020",47,,"1"
1135032,"980030",2,,"1"
1135032,"980040",3,,"1"
1135032,"980050",2,,"1"
1135032,"980070",116014,,"1"
1135032,"980090",100,,"1"
1135032,"980210",100,,"1"
1135032,"980230",100,,"1"
1135032,"980281",100,,"1"
1135032,"980286",100,,"1"
1135032,"980310",100,,"1"
1135032,"980330",100,,"1"
1135051,"800940",1913,,"1"
1135051,"900000",25000,,"1"
1135051,"900030",12936,,"1"
1135051,"950002",2115,,"1"
1135051,"950012",673,,"1"
1135051,"980000",37936,,"1"
1135051,"980010",3,,"1"
1135051,"980020",32,,"1"
1135051,"980030",1,,"1"
1135051,"980040",1,,"1"
1135051,"980050",1,,"1"
1135051,"980060",1,,"1"
1135051,"980070",35148,,"1"
1135051,"980220",100,,"1"
1135051,"980260",100,,"1"
1135051,"980281",100,,"1"
1135051,"980285",100,,"1"
1135051,"980300",100,,"1"
1135051,"980330",100,,"1"
1135052,"800940",1913,,"1"
1135052,"900000",25000,,"1"
1135052,"900030",12936,,"1"
1135052,"950002",2115,,"1"
1135052,"950012",673,,"1"
1135052,"980000",37936,,"1"
1135052,"980010",3,,"1"
1135052,"980020",32,,"1"
1135052,"980030",1,,"1"
1135052,"980040",1,,"1"
1135052,"980050",1,,"1"
1135052,"980060",1,,"1"
1135052,"980070",35148,,"1"
1135052,"980220",100,,"1"
1135052,"980260",100,,"1"
1135052,"980281",100,,"1"
1135052,"980285",100,,"1"
1135052,"980300",100,,"1"
1135052,"980330",100,,"1"
1135061,"800940",10710,,"1"
1135061,"900000",140000,,"1"
1135061,"900040",34803,,"1"
1135061,"950001",-5000,,"1"
1135061,"950011",-2000,,"1"
1135061,"980000",174803,,"1"
1135061,"980010",3,,"1"
1135061,"980020",39,,"1"
1135061,"980030",2,,"1"
1135061,"980040",2,,"1"
1135061,"980050",1,,"1"
1135061,"980070",181803,,"1"
1135061,"980090",100,,"1"
1135061,"980210",100,,"1"
1135061,"980230",100,,"1"
1135061,"980281",100,,"1"
1135061,"980285",100,,"1"
1135061,"980300",100,,"1"
1135061,"980330",100,,"1"
1135062,"800940",10710,,"1"
1135062,"900000",140000,,"1"
1135062,"900040",34431,,"1"
1135062,"950001",-5000,,"1"
1135062,"950011",-2000,,"1"
1135062,"980000",174431,,"1"
1135062,"980010",3,,"1"
1135062,"980020",39,,"1"
1135062,"980030",2,,"1"
1135062,"980040",2,,"1"
1135062,"980050",1,,"1"
1135062,"980070",181431,,"1"
1135062,"980090",100,,"1"
1135062,"980210",100,,"1"
1135062,"980230",100,,"1"
1135062,"980281",100,,"1"
1135062,"980285",100,,"1"
1135062,"980300",100,,"1"
1135062,"980330",100,,"1"
1135071,"900030",2610,,"1"
1135071,"900150",756,,"1"
1135071,"980000",3366,,"1"
1135071,"980010",2,,"1"
1135071,"980020",56,,"1"
1135071,"980040",2,,"1"
1135071,"980070",3366,,"1"
1135071,"980090",100,,"1"
1135071,"980220",100,,"1"
1135071,"980230",100,,"1"
1135071,"980281",100,,"1"
1135071,"980286",100,,"1"
1135071,"980310",100,,"1"
1135071,"980330",100,,"1"
1135072,"900030",2610,,"1"
1135072,"900150",756,,"1"
1135072,"980000",3366,,"1"
1135072,"980010",2,,"1"
1135072,"980020",56,,"1"
1135072,"980040",2,,"1"
1135072,"980070",3366,,"1"
1135072,"980090",100,,"1"
1135072,"980220",100,,"1"
1135072,"980230",100,,"1"
1135072,"980281",100,,"1"
1135072,"980286",100,,"1"
1135072,"980310",100,,"1"
1135072,"980330",100,,"1"
1135091,"800940",3769,,"1"
1135091,"900010",24631,,"1"
1135091,"980000",24631,,"1"
1135091,"980010",2,,"1"
1135091,"980020",67,,"1"
1135091,"980030",1,,"1"
1135091,"980040",3,,"1"
1135091,"980060",2,,"1"
1135091,"980070",24631,,"1"
1135091,"980090",100,,"1"
1135091,"980210",100,,"1"
1135091,"980240",100,,"1"
1135091,"980281",100,,"1"
1135091,"980286",100,,"1"
1135091,"980290",100,,"1"
1135091,"980330",100,,"1"
1135092,"800940",3836,,"1"
1135092,"900010",25070,,"1"
1135092,"980000",25070,,"1"
1135092,"980010",2,,"1"
1135092,"980020",67,,"1"
1135092,"980030",1,,"1"
1135092,"980040",3,,"1"
1135092,"980060",2,,"1"
1135092,"980070",25070,,"1"
1135092,"980090",100,,"1"
1135092,"980210",100,,"1"
1135092,"980240",100,,"1"
1135092,"980281",100,,"1"
1135092,"980286",100,,"1"
1135092,"980290",100,,"1"
1135092,"980330",100,,"1"
1135101,"800940",7221,,"1"
1135101,"900000",54388,,"1"
1135101,"900010",20000,,"1"
1135101,"950003",1000,,"1"
1135101,"980000",74388,,"1"
1135101,"980010",2,,"1"
1135101,"980020",70,,"1"
1135101,"980030",2,,"1"
1135101,"980040",2,,"1"
1135101,"980060",1,,"1"
1135101,"980070",73388,,"1"
1135101,"980210",100,,"1"
1135101,"980260",100,,"1"
1135101,"980281",100,,"1"
1135101,"980286",100,,"1"
1135101,"980310",100,,"1"
1135101,"980330",100,,"1"
1135102,"800940",7290,,"1"
1135102,"900000",55294,,"1"
1135102,"900010",20000,,"1"
1135102,"950003",1000,,"1"
1135102,"980000",75294,,"1"
1135102,"980010",2,,"1"
1135102,"980020",41,,"1"
1135102,"980030",2,,"1"
1135102,"980040",2,,"1"
1135102,"980070",74294,,"1"
1135102,"980210",100,,"1"
1135102,"980260",100,,"1"
1135102,"980281",100,,"1"
1135102,"980286",100,,"1"
1135102,"980310",100,,"1"
1135102,"980330",100,,"1"
1135111,"900100",6000,,"1"
1135111,"980000",6000,,"1"
1135111,"980010",1,,"1"
1135111,"980020",32,,"1"
1135111,"980040",1,,"1"
1135111,"980070",6000,,"1"
1135111,"980210",100,,"1"
1135111,"980260",100,,"1"
1135111,"980270",100,,"1"
1135111,"980286",100,,"1"
1135111,"980310",100,,"1"
1135111,"980330",100,,"1"
1135112,"900100",6000,,"1"
1135112,"980000",6000,,"1"
1135112,"980010",1,,"1"
1135112,"980020",32,,"1"
1135112,"980040",1,,"1"
1135112,"980070",6000,,"1"
1135112,"980210",100,,"1"
1135112,"980260",100,,"1"
1135112,"980270",100,,"1"
1135112,"980286",100,,"1"
1135112,"980310",100,,"1"
1135112,"980330",100,,"1"
1135121,"800940",1530,,"1"
1135121,"900000",20000,,"1"
1135121,"900090",21600,,"1"
1135121,"950001",-300,,"1"
1135121,"980000",41600,,"1"
1135121,"980010",2,,"1"
1135121,"980020",47,,"1"
1135121,"980030",1,,"1"
1135121,"980040",1,,"1"
1135121,"980070",41900,,"1"
1135121,"980090",100,,"1"
1135121,"980210",100,,"1"
1135121,"980230",100,,"1"
1135121,"980281",100,,"1"
1135121,"980286",100,,"1"
1135121,"980300",100,,"1"
1135121,"980330",100,,"1"
1135122,"800940",1530,,"1"
1135122,"900000",20000,,"1"
1135122,"900090",21600,,"1"
1135122,"950001",-300,,"1"
1135122,"980000",41600,,"1"
1135122,"980010",2,,"1"
1135122,"980020",47,,"1"
1135122,"980030",1,,"1"
1135122,"980040",1,,"1"
1135122,"980070",41900,,"1"
1135122,"980090",100,,"1"
1135122,"980210",100,,"1"
1135122,"980230",100,,"1"
1135122,"980281",100,,"1"
1135122,"980286",100,,"1"
1135122,"980300",100,,"1"
1135122,"980330",100,,"1"
1135161,"900030",8050,,"1"
1135161,"980000",8050,,"1"
1135161,"980010",1,,"1"
1135161,"980020",65,,"1"
1135161,"980060",1,,"1"
1135161,"980070",8050,,"1"
1135161,"980090",100,,"1"
1135161,"980220",100,,"1"
1135161,"980250",100,,"1"
1135161,"980281",100,,"1"
1135161,"980286",100,,"1"
1135161,"980310",100,,"1"
1135171,"900030",31992,,"1"
1135171,"900040",27986,,"1"
1135171,"900080",2581,,"1"
1135171,"980000",62560,,"1"
1135171,"980010",2,,"1"
1135171,"980020",72,,"1"
1135171,"980040",2,,"1"
1135171,"980060",2,,"1"
1135171,"980070",62560,,"1"
1135171,"980090",100,,"1"
1135171,"980220",100,,"1"
1135171,"980230",100,,"1"
1135171,"980281",100,,"1"
1135171,"980286",100,,"1"
1135171,"980310",100,,"1"
1135171,"980330",100,,"1"
1135172,"900030",30516,,"1"
1135172,"900040",19784,,"1"
1135172,"900080",1198,,"1"
1135172,"980000",51498,,"1"
1135172,"980010",2,,"1"
1135172,"980020",72,,"1"
1135172,"980040",2,,"1"
1135172,"980060",2,,"1"
1135172,"980070",51498,,"1"
1135172,"980090",100,,"1"
1135172,"980220",100,,"1"
1135172,"980230",100,,"1"
1135172,"980281",100,,"1"
1135172,"980286",100,,"1"
1135172,"980310",100,,"1"
1135172,"980330",100,,"1"
1135231,"900030",8465,,"1"
1135231,"900040",13500,,"1"
1135231,"980000",21965,,"1"
1135231,"980010",1,,"1"
1135231,"980020",72,,"1"
1135231,"980040",2,,"1"
1135231,"980060",1,,"1"
1135231,"980070",21965,,"1"
1135231,"980090",100,,"1"
1135231,"980220",100,,"1"
1135231,"980240",100,,"1"
1135231,"980281",100,,"1"
1135231,"980286",100,,"1"
1135231,"980310",100,,"1"
1135231,"980330",100,,"1"
1135232,"900030",8465,,"1"
1135232,"900040",13500,,"1"
1135232,"980000",21965,,"1"
1135232,"980010",1,,"1"
1135232,"980020",72,,"1"
1135232,"980040",2,,"1"
1135232,"980060",1,,"1"
1135232,"980070",21965,,"1"
1135232,"980090",100,,"1"
1135232,"980220",100,,"1"
1135232,"980240",100,,"1"
1135232,"980281",100,,"1"
