"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1142761,"900030","1",15557,,"1"
1142761,"900030","1",15557,,"2"
1142761,"900030","1",15557,,"3"
1142761,"900030","1",15557,,"4"
1142761,"900030","1",15557,,"5"
1142761,"900040","1",8573,,"1"
1142761,"900040","1",8573,,"2"
1142761,"900040","1",8573,,"3"
1142761,"900040","1",8573,,"4"
1142761,"900040","1",8573,,"5"
1142761,"980000","1",24130,,"1"
1142761,"980000","1",24130,,"2"
1142761,"980000","1",24130,,"3"
1142761,"980000","1",24130,,"4"
1142761,"980000","1",24130,,"5"
1142761,"980070","1",24130,,"1"
1142761,"980070","1",24130,,"2"
1142761,"980070","1",24130,,"3"
1142761,"980070","1",24130,,"4"
1142761,"980070","1",24130,,"5"
1142762,"900030","1",15557,,"1"
1142762,"900030","1",15557,,"2"
1142762,"900030","1",15557,,"3"
1142762,"900030","1",15557,,"4"
1142762,"900030","1",15557,,"5"
1142762,"900040","1",8573,,"1"
1142762,"900040","1",8573,,"2"
1142762,"900040","1",8573,,"3"
1142762,"900040","1",8573,,"4"
1142762,"900040","1",8573,,"5"
1142762,"980000","1",24130,,"1"
1142762,"980000","1",24130,,"2"
1142762,"980000","1",24130,,"3"
1142762,"980000","1",24130,,"4"
1142762,"980000","1",24130,,"5"
1142762,"980070","1",24130,,"1"
1142762,"980070","1",24130,,"2"
1142762,"980070","1",24130,,"3"
1142762,"980070","1",24130,,"4"
1142762,"980070","1",24130,,"5"
1143271,"800940","1",3568,,"1"
1143271,"800940","1",3155,,"2"
1143271,"800940","1",3341,,"3"
1143271,"800940","1",3639,,"4"
1143271,"800940","1",3560,,"5"
1143271,"900000","1",46638,,"1"
1143271,"900000","1",41237,,"2"
1143271,"900000","1",43670,,"3"
1143271,"900000","1",47570,,"4"
1143271,"900000","1",46542,,"5"
1143271,"900030","1",18161,,"1"
1143271,"900030","1",18161,,"2"
1143271,"900030","1",18161,,"3"
1143271,"900030","1",18161,,"4"
1143271,"900030","1",18161,,"5"
1143271,"980000","1",64799,,"1"
1143271,"980000","1",59398,,"2"
1143271,"980000","1",61831,,"3"
1143271,"980000","1",65731,,"4"
1143271,"980000","1",64703,,"5"
1143271,"980070","1",61294,,"1"
1143271,"980070","1",55893,,"2"
1143271,"980070","1",58326,,"3"
1143271,"980070","1",62226,,"4"
1143271,"980070","1",61198,,"5"
1143272,"800940","1",3589,,"1"
1143272,"800940","1",3108,,"2"
1143272,"800940","1",3106,,"3"
1143272,"800940","1",3817,,"4"
1143272,"800940","1",3161,,"5"
1143272,"900000","1",46909,,"1"
1143272,"900000","1",40623,,"2"
1143272,"900000","1",40601,,"3"
1143272,"900000","1",49898,,"4"
1143272,"900000","1",41321,,"5"
1143272,"900030","1",18161,,"1"
1143272,"900030","1",18161,,"2"
1143272,"900030","1",18161,,"3"
1143272,"900030","1",18161,,"4"
1143272,"900030","1",18161,,"5"
1143272,"980000","1",65070,,"1"
1143272,"980000","1",58784,,"2"
1143272,"980000","1",58762,,"3"
1143272,"980000","1",68059,,"4"
1143272,"980000","1",59482,,"5"
1143272,"980070","1",61565,,"1"
1143272,"980070","1",55279,,"2"
1143272,"980070","1",55257,,"3"
1143272,"980070","1",64554,,"4"
1143272,"980070","1",55977,,"5"
1137611,"800940","1",3975,,"1"
1137611,"800940","1",3659,,"2"
1137611,"800940","1",9028,,"3"
1137611,"800940","1",2650,,"4"
1137611,"800940","1",6572,,"5"
1137611,"900000","1",51960,,"1"
1137611,"900000","1",47826,,"2"
1137611,"900000","1",118004,,"3"
1137611,"900000","1",34640,,"4"
1137611,"900000","1",85912,,"5"
1137611,"980000","1",51960,,"1"
1137611,"980000","1",47826,,"2"
1137611,"980000","1",118004,,"3"
1137611,"980000","1",34640,,"4"
1137611,"980000","1",85912,,"5"
1137611,"980070","1",51960,,"1"
1137611,"980070","1",47826,,"2"
1137611,"980070","1",118004,,"3"
1137611,"980070","1",34640,,"4"
1137611,"980070","1",85912,,"5"
1137612,"800940","1",4237,,"1"
1137612,"800940","1",5970,,"2"
1137612,"800940","1",5109,,"3"
1137612,"800940","1",3181,,"4"
1137612,"800940","1",4524,,"5"
1137612,"900000","1",55385,,"1"
1137612,"900000","1",78041,,"2"
1137612,"900000","1",66791,,"3"
1137612,"900000","1",41580,,"4"
1137612,"900000","1",59140,,"5"
1137612,"980000","1",55385,,"1"
1137612,"980000","1",78041,,"2"
1137612,"980000","1",66791,,"3"
1137612,"980000","1",41580,,"4"
1137612,"980000","1",59140,,"5"
1137612,"980070","1",55385,,"1"
1137612,"980070","1",78041,,"2"
1137612,"980070","1",66791,,"3"
1137612,"980070","1",41580,,"4"
1137612,"980070","1",59140,,"5"
