"NEWID","UCC","AMOUNT","IMPNUM","PUB_FLAG","AMOUNT_"
"03471331","900000",35000,"1","1",
"03471331","900000",35000,"2","1",
"03471331","900000",35000,"3","1",
"03471331","900000",35000,"4","1",
"03471331","900000",35000,"5","1",
"03471331","900030",5782,"1","1",
"03471331","900030",5782,"2","1",
"03471331","900030",5782,"3","1",
"03471331","900030",5782,"4","1",
"03471331","900030",5782,"5","1",
"03471331","980000",40782,"1","1",
"03471331","980000",40782,"2","1",
"03471331","980000",40782,"3","1",
"03471331","980000",40782,"4","1",
"03471331","980000",40782,"5","1",
"03471332","900000",35000,"1","1",
"03471332","900000",35000,"2","1",
"03471332","900000",35000,"3","1",
"03471332","900000",35000,"4","1",
"03471332","900000",35000,"5","1",
"03471332","900030",5782,"1","1",
"03471332","900030",5782,"2","1",
"03471332","900030",5782,"3","1",
"03471332","900030",5782,"4","1",
"03471332","900030",5782,"5","1",
"03471332","980000",40782,"1","1",
"03471332","980000",40782,"2","1",
"03471332","980000",40782,"3","1",
"03471332","980000",40782,"4","1",
"03471332","980000",40782,"5","1",
"03471351","900030",40916,"1","1",
"03471351","900030",40916,"2","1",
"03471351","900030",40916,"3","1",
"03471351","900030",40916,"4","1",
"03471351","900030",40916,"5","1",
"03471351","900170",15000,"1","1",
"03471351","900170",15000,"2","1",
"03471351","900170",15000,"3","1",
"03471351","900170",15000,"4","1",
"03471351","900170",15000,"5","1",
"03471351","980000",55916,"1","1",
"03471351","980000",55916,"2","1",
"03471351","980000",55916,"3","1",
"03471351","980000",55916,"4","1",
"03471351","980000",55916,"5","1",
"03471352","900030",40916,"1","1",
"03471352","900030",40916,"2","1",
"03471352","900030",40916,"3","1",
"03471352","900030",40916,"4","1",
"03471352","900030",40916,"5","1",
"03471352","900170",15000,"1","1",
"03471352","900170",15000,"2","1",
"03471352","900170",15000,"3","1",
"03471352","900170",15000,"4","1",
"03471352","900170",15000,"5","1",
"03471352","980000",55916,"1","1",
"03471352","980000",55916,"2","1",
"03471352","980000",55916,"3","1",
"03471352","980000",55916,"4","1",
"03471352","980000",55916,"5","1",
"03471381","900000",61857,"1","1",
"03471381","900000",42995,"2","1",
"03471381","900000",94417,"3","1",
"03471381","900000",45948,"4","1",
"03471381","900000",27238,"5","1",
"03471381","980000",61857,"1","1",
"03471381","980000",42995,"2","1",
"03471381","980000",94417,"3","1",
"03471381","980000",45948,"4","1",
"03471381","980000",27238,"5","1",
"03471382","900000",40228,"1","1",
"03471382","900000",51514,"2","1",
"03471382","900000",40758,"3","1",
"03471382","900000",43742,"4","1",
"03471382","900000",40258,"5","1",
"03471382","980000",40228,"1","1",
"03471382","980000",51514,"2","1",
"03471382","980000",40758,"3","1",
"03471382","980000",43742,"4","1",
"03471382","980000",40258,"5","1",
"03471391","900000",83833,"1","1",
"03471391","900000",93193,"2","1",
"03471391","900000",93000,"3","1",
"03471391","900000",80299,"4","1",
"03471391","900000",81466,"5","1",
"03471391","980000",83833,"1","1",
"03471391","980000",93193,"2","1",
