"NEWID","UCC","AMOUNT","IMPNUM","PUB_FLAG","AMOUNT_"
"03534902","900000",28000,"1","1",
"03534902","900000",28000,"2","1",
"03534902","900000",28000,"3","1",
"03534902","900000",28000,"4","1",
"03534902","900000",28000,"5","1",
"03534902","980000",28000,"1","1",
"03534902","980000",28000,"2","1",
"03534902","980000",28000,"3","1",
"03534902","980000",28000,"4","1",
"03534902","980000",28000,"5","1",
"03534922","900000",115000,"1","1",
"03534922","900000",115000,"2","1",
"03534922","900000",115000,"3","1",
"03534922","900000",115000,"4","1",
"03534922","900000",115000,"5","1",
"03534922","980000",115000,"1","1",
"03534922","980000",115000,"2","1",
"03534922","980000",115000,"3","1",
"03534922","980000",115000,"4","1",
"03534922","980000",115000,"5","1",
"03534931","800940",11818,"1","1","T"
"03534931","800940",11818,"2","1","T"
"03534931","800940",11818,"3","1","T"
"03534931","800940",11818,"4","1","T"
"03534931","800940",11818,"5","1","T"
"03534931","900000",30000,"1","1",
"03534931","900000",30000,"2","1",
"03534931","900000",30000,"3","1",
"03534931","900000",30000,"4","1",
"03534931","900000",30000,"5","1",
"03534931","900160",50023,"1","1",
"03534931","900160",9961,"2","1",
"03534931","900160",2554,"3","1",
"03534931","900160",29111,"4","1",
"03534931","900160",100178,"5","1",
"03534931","980000",80023,"1","1",
"03534931","980000",39961,"2","1",
"03534931","980000",32554,"3","1",
"03534931","980000",59111,"4","1",
"03534931","980000",130178,"5","1",
"03534932","800940",11818,"1","1","T"
"03534932","800940",11818,"2","1","T"
"03534932","800940",11818,"3","1","T"
"03534932","800940",11818,"4","1","T"
"03534932","800940",11818,"5","1","T"
"03534932","900000",30000,"1","1",
"03534932","900000",30000,"2","1",
"03534932","900000",30000,"3","1",
"03534932","900000",30000,"4","1",
"03534932","900000",30000,"5","1",
"03534932","900160",35776,"1","1",
"03534932","900160",12694,"2","1",
"03534932","900160",15045,"3","1",
"03534932","900160",8015,"4","1",
"03534932","900160",76968,"5","1",
"03534932","980000",65776,"1","1",
"03534932","980000",42694,"2","1",
"03534932","980000",45045,"3","1",
"03534932","980000",38015,"4","1",
"03534932","980000",106968,"5","1",
"03534952","900000",36803,"1","1",
"03534952","900000",60102,"2","1",
"03534952","900000",21910,"3","1",
"03534952","900000",58854,"4","1",
"03534952","900000",30107,"5","1",
"03534952","900030",42524,"1","1",
"03534952","900030",42524,"2","1",
"03534952","900030",42524,"3","1",
"03534952","900030",42524,"4","1",
"03534952","900030",42524,"5","1",
"03534952","980000",79327,"1","1",
"03534952","980000",102626,"2","1",
"03534952","980000",64434,"3","1",
"03534952","980000",101378,"4","1",
"03534952","980000",72631,"5","1",
"03534961","900000",55000,"1","1",
"03534961","900000",55000,"2","1",
"03534961","900000",55000,"3","1",
"03534961","900000",55000,"4","1",
"03534961","900000",55000,"5","1",
"03534961","980000",55000,"1","1",
"03534961","980000",55000,"2","1",
"03534961","980000",55000,"3","1",
"03534961","980000",55000,"4","1",
"03534961","980000",55000,"5","1",
"03534962","900000",55000,"1","1",
"03534962","900000",55000,"2","1",
"03534962","900000",55000,"3","1",
"03534962","900000",55000,"4","1",
"03534962","900000",55000,"5","1",
"03534962","980000",55000,"1","1",
"03534962","980000",55000,"2","1",
"03534962","980000",55000,"3","1",
"03534962","980000",55000,"4","1",
"03534962","980000",55000,"5","1",
"03534991","900000",64801,"1","1",
"03534991","900000",68444,"2","1",
"03534991","900000",64159,"3","1",
"03534991","900000",65474,"4","1",
"03534991","900000",75064,"5","1",
"03534991","900210",4128,"1","1",
"03534991","900210",4128,"2","1",
"03534991","900210",4128,"3","1",
"03534991","900210",4128,"4","1",
"03534991","900210",4128,"5","1",
"03534991","980000",68929,"1","1",
"03534991","980000",72572,"2","1",
"03534991","980000",68287,"3","1",
"03534991","980000",69602,"4","1",
"03534991","980000",79192,"5","1",
"03534992","900000",62706,"1","1",
"03534992","900000",66072,"2","1",
"03534992","900000",69342,"3","1",
"03534992","900000",70765,"4","1",
"03534992","900000",65843,"5","1",
"03534992","900210",4128,"1","1",
"03534992","900210",4128,"2","1",
"03534992","900210",4128,"3","1",
"03534992","900210",4128,"4","1",
"03534992","900210",4128,"5","1",
"03534992","980000",66834,"1","1",
"03534992","980000",70200,"2","1",
"03534992","980000",73470,"3","1",
"03534992","980000",74893,"4","1",
"03534992","980000",69971,"5","1",
"03535011","900000",77000,"1","1",
"03535011","900000",77000,"2","1",
"03535011","900000",77000,"3","1",
"03535011","900000",77000,"4","1",
"03535011","900000",77000,"5","1",
"03535011","980000",77000,"1","1",
"03535011","980000",77000,"2","1",
"03535011","980000",77000,"3","1",
"03535011","980000",77000,"4","1",
"03535011","980000",77000,"5","1",
"03535012","900000",77000,"1","1",
"03535012","900000",77000,"2","1",
"03535012","900000",77000,"3","1",
"03535012","900000",77000,"4","1",
"03535012","900000",77000,"5","1",
"03535012","980000",77000,"1","1",
"03535012","980000",77000,"2","1",
"03535012","980000",77000,"3","1",
"03535012","980000",77000,"4","1",
"03535012","980000",77000,"5","1",
"03535021","900000",55000,"1","1",
"03535021","900000",55000,"2","1",
"03535021","900000",55000,"3","1",
"03535021","900000",55000,"4","1",
"03535021","900000",55000,"5","1",
"03535021","980000",55000,"1","1",
"03535021","980000",55000,"2","1",
"03535021","980000",55000,"3","1",
"03535021","980000",55000,"4","1",
"03535021","980000",55000,"5","1",
"03535022","900000",55000,"1","1",
"03535022","900000",55000,"2","1",
"03535022","900000",55000,"3","1",
"03535022","900000",55000,"4","1",
"03535022","900000",55000,"5","1",
"03535022","980000",55000,"1","1",
"03535022","980000",55000,"2","1",
"03535022","980000",55000,"3","1",
"03535022","980000",55000,"4","1",
"03535022","980000",55000,"5","1",
"03535031","900000",90365,"1","1",
"03535031","900000",74204,"2","1",
"03535031","900000",90437,"3","1",
"03535031","900000",97264,"4","1",
"03535031","900000",96790,"5","1",
"03535031","980000",90365,"1","1",
"03535031","980000",74204,"2","1",
"03535031","980000",90437,"3","1",
"03535031","980000",97264,"4","1",
"03535031","980000",96790,"5","1",
"03535032","900000",170726,"1","1",
"03535032","900000",105308,"2","1",
"03535032","900000",100847,"3","1",
"03535032","900000",57600,"4","1",
"03535032","900000",74814,"5","1",
"03535032","980000",170726,"1","1",
"03535032","980000",105308,"2","1",
"03535032","980000",100847,"3","1",
"03535032","980000",57600,"4","1",
"03535032","980000",74814,"5","1",
"03535041","900000",17350,"1","1",
"03535041","900000",17350,"2","1",
"03535041","900000",17350,"3","1",
"03535041","900000",17350,"4","1",
"03535041","900000",17350,"5","1",
"03535041","980000",17350,"1","1",
"03535041","980000",17350,"2","1",
"03535041","980000",17350,"3","1",
"03535041","980000",17350,"4","1",
"03535041","980000",17350,"5","1",
"03535042","900000",17350,"1","1",
"03535042","900000",17350,"2","1",
"03535042","900000",17350,"3","1",
"03535042","900000",17350,"4","1",
"03535042","900000",17350,"5","1",
"03535042","980000",17350,"1","1",
"03535042","980000",17350,"2","1",
"03535042","980000",17350,"3","1",
"03535042","980000",17350,"4","1",
"03535042","980000",17350,"5","1",
"03535051","900030",16138,"1","1",
"03535051","900030",16918,"2","1",
"03535051","900030",14194,"3","1",
"03535051","900030",14734,"4","1",
"03535051","900030",16786,"5","1",
"03535051","900170",18000,"1","1",
"03535051","900170",18000,"2","1",
"03535051","900170",18000,"3","1",
"03535051","900170",18000,"4","1",
"03535051","900170",18000,"5","1",
"03535051","980000",34138,"1","1",
"03535051","980000",34918,"2","1",
"03535051","980000",32194,"3","1",
"03535051","980000",32734,"4","1",
"03535051","980000",34786,"5","1",
"03535052","900030",16474,"1","1",
"03535052","900030",13978,"2","1",
"03535052","900030",13834,"3","1",
"03535052","900030",14866,"4","1",
"03535052","900030",14146,"5","1",
"03535052","900170",18000,"1","1",
"03535052","900170",18000,"2","1",
"03535052","900170",18000,"3","1",
"03535052","900170",18000,"4","1",
"03535052","900170",18000,"5","1",
"03535052","980000",34474,"1","1",
"03535052","980000",31978,"2","1",
"03535052","980000",31834,"3","1",
"03535052","980000",32866,"4","1",
"03535052","980000",32146,"5","1",
"03535062","900000",68399,"1","1",
"03535062","900000",103331,"2","1",
"03535062","900000",70543,"3","1",
"03535062","900000",72664,"4","1",
"03535062","900000",126801,"5","1",
"03535062","980000",68399,"1","1",
"03535062","980000",103331,"2","1",
"03535062","980000",70543,"3","1",
"03535062","980000",72664,"4","1",
"03535062","980000",126801,"5","1",
"03535101","900030",14818,"1","1",
"03535101","900030",14818,"2","1",
"03535101","900030",14818,"3","1",
"03535101","900030",14818,"4","1",
"03535101","900030",14818,"5","1",
"03535101","900150",1068,"1","1",
"03535101","900150",1068,"2","1",
"03535101","900150",1068,"3","1",
"03535101","900150",1068,"4","1",
"03535101","900150",1068,"5","1",
"03535101","980000",15886,"1","1",
"03535101","980000",15886,"2","1",
"03535101","980000",15886,"3","1",
"03535101","980000",15886,"4","1",
"03535101","980000",15886,"5","1",
"03535151","900030",18106,"1","1",
"03535151","900030",18106,"2","1",
"03535151","900030",18106,"3","1",
"03535151","900030",18106,"4","1",
"03535151","900030",18106,"5","1",
"03535151","900180",68804,"1","1","T"
"03535151","900180",68804,"2","1","T"
"03535151","900180",68804,"3","1","T"
"03535151","900180",68804,"4","1","T"
"03535151","900180",68804,"5","1","T"
"03535151","900200",10000,"1","1",
"03535151","900200",10000,"2","1",
"03535151","900200",10000,"3","1",
"03535151","900200",10000,"4","1",
"03535151","900200",10000,"5","1",
"03535151","980000",96910,"1","1","T"
"03535151","980000",96910,"2","1","T"
"03535151","980000",96910,"3","1","T"
"03535151","980000",96910,"4","1","T"
"03535151","980000",96910,"5","1","T"
"03535152","900030",18106,"1","1",
"03535152","900030",18106,"2","1",
"03535152","900030",18106,"3","1",
"03535152","900030",18106,"4","1",
"03535152","900030",18106,"5","1",
"03535152","900180",68804,"1","1","T"
"03535152","900180",68804,"2","1","T"
"03535152","900180",68804,"3","1","T"
"03535152","900180",68804,"4","1","T"
"03535152","900180",68804,"5","1","T"
"03535152","900200",10000,"1","1",
"03535152","900200",10000,"2","1",
"03535152","900200",10000,"3","1",
"03535152","900200",10000,"4","1",
"03535152","900200",10000,"5","1",
"03535152","980000",96910,"1","1","T"
"03535152","980000",96910,"2","1","T"
"03535152","980000",96910,"3","1","T"
"03535152","980000",96910,"4","1","T"
"03535152","980000",96910,"5","1","T"
"03535212","900000",38981,"1","1",
"03535212","900000",39450,"2","1",
"03535212","900000",38230,"3","1",
"03535212","900000",31731,"4","1",
"03535212","900000",30008,"5","1",
"03535212","980000",38981,"1","1",
"03535212","980000",39450,"2","1",
"03535212","980000",38230,"3","1",
"03535212","980000",31731,"4","1",
"03535212","980000",30008,"5","1",
"03535221","900000",24000,"1","1",
"03535221","900000",24000,"2","1",
"03535221","900000",24000,"3","1",
"03535221","900000",24000,"4","1",
"03535221","900000",24000,"5","1",
"03535221","980000",24000,"1","1",
"03535221","980000",24000,"2","1",
"03535221","980000",24000,"3","1",
"03535221","980000",24000,"4","1",
"03535221","980000",24000,"5","1",
"03535222","900000",24000,"1","1",
"03535222","900000",24000,"2","1",
"03535222","900000",24000,"3","1",
"03535222","900000",24000,"4","1",
"03535222","900000",24000,"5","1",
"03535222","980000",24000,"1","1",
"03535222","980000",24000,"2","1",
"03535222","980000",24000,"3","1",
"03535222","980000",24000,"4","1",
"03535222","980000",24000,"5","1",
"03535251","800940",9104,"1","1",
"03535251","800940",9104,"2","1",
"03535251","800940",9104,"3","1",
"03535251","800940",9104,"4","1",
"03535251","800940",9104,"5","1",
"03535251","900000",226245,"1","1",
"03535251","900000",169816,"2","1",
"03535251","900000",162711,"3","1",
"03535251","900000",195717,"4","1",
"03535251","900000",195540,"5","1",
"03535251","900140",4000,"1","1",
"03535251","900140",4000,"2","1",
"03535251","900140",4000,"3","1",
"03535251","900140",4000,"4","1",
"03535251","900140",4000,"5","1",
"03535251","900160",2000,"1","1",
"03535251","900160",2000,"2","1",
"03535251","900160",2000,"3","1",
"03535251","900160",2000,"4","1",
"03535251","900160",2000,"5","1",
"03535251","900180",25,"1","1",
"03535251","900180",109,"2","1",
"03535251","900180",91,"3","1",
"03535251","900180",41,"4","1",
"03535251","900180",24,"5","1",
"03535251","980000",232270,"1","1",
"03535251","980000",175925,"2","1",
"03535251","980000",168802,"3","1",
"03535251","980000",201758,"4","1",
"03535251","980000",201564,"5","1",
"03535252","800940",9104,"1","1",
"03535252","800940",9104,"2","1",
"03535252","800940",9104,"3","1",
"03535252","800940",9104,"4","1",
"03535252","800940",9104,"5","1",
"03535252","900000",245862,"1","1",
"03535252","900000",184028,"2","1",
"03535252","900000",143714,"3","1",
"03535252","900000",130323,"4","1",
"03535252","900000",163919,"5","1",
"03535252","900140",4000,"1","1",
"03535252","900140",4000,"2","1",
"03535252","900140",4000,"3","1",
"03535252","900140",4000,"4","1",
"03535252","900140",4000,"5","1",
"03535252","900160",2000,"1","1",
"03535252","900160",2000,"2","1",
"03535252","900160",2000,"3","1",
"03535252","900160",2000,"4","1",
"03535252","900160",2000,"5","1",
"03535252","900180",31,"1","1",
"03535252","900180",74,"2","1",
