"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
"03356421","900030",18622,,"1"
"03356421","980000",18622,,"1"
"03356421","980010",2,,"1"
"03356421","980020",74,,"1"
"03356421","980040",1,,"1"
"03356421","980060",1,,"1"
"03356421","980090",100,,"1"
"03356421","980220",100,,"1"
"03356421","980230",100,,"1"
"03356421","980270",100,,"1"
"03356421","980286",100,,"1"
"03356421","980290",100,,"1"
"03356421","980330",100,,"1"
"03356422","900030",18622,,"1"
"03356422","980000",18622,,"1"
"03356422","980010",2,,"1"
"03356422","980020",74,,"1"
"03356422","980040",1,,"1"
"03356422","980060",1,,"1"
"03356422","980090",100,,"1"
"03356422","980220",100,,"1"
"03356422","980230",100,,"1"
"03356422","980270",100,,"1"
"03356422","980286",100,,"1"
"03356422","980290",100,,"1"
"03356422","980330",100,,"1"
"03356431","900000",85427,,"1"
"03356431","980000",85427,,"1"
"03356431","980010",2,,"1"
"03356431","980020",56,,"1"
"03356431","980030",2,,"1"
"03356431","980040",5,,"1"
"03356431","980090",100,,"1"
"03356431","980210",100,,"1"
"03356431","980240",100,,"1"
"03356431","980281",100,,"1"
"03356431","980286",100,,"1"
"03356431","980300",100,,"1"
"03356431","980330",100,,"1"
"03356432","900000",87583,,"1"
"03356432","980000",87583,,"1"
"03356432","980010",2,,"1"
"03356432","980020",56,,"1"
"03356432","980030",2,,"1"
"03356432","980040",5,,"1"
"03356432","980090",100,,"1"
"03356432","980210",100,,"1"
"03356432","980240",100,,"1"
"03356432","980281",100,,"1"
"03356432","980286",100,,"1"
"03356432","980300",100,,"1"
"03356432","980330",100,,"1"
"03356441","800931",8869,,"1"
"03356441","800932",267,,"1"
"03356441","900000",105000,,"1"
"03356441","980000",105000,,"1"
"03356441","980010",3,,"1"
"03356441","980020",53,,"1"
"03356441","980030",2,,"1"
"03356441","980040",3,,"1"
"03356441","980090",100,,"1"
"03356441","980210",100,,"1"
"03356441","980230",100,,"1"
"03356441","980281",100,,"1"
"03356441","980286",100,,"1"
"03356441","980310",100,,"1"
"03356441","980330",100,,"1"
"03356442","800931",8869,,"1"
"03356442","800932",267,,"1"
"03356442","900000",105000,,"1"
"03356442","980000",105000,,"1"
"03356442","980010",3,,"1"
"03356442","980020",53,,"1"
"03356442","980030",2,,"1"
"03356442","980040",3,,"1"
"03356442","980090",100,,"1"
"03356442","980210",100,,"1"
"03356442","980230",100,,"1"
"03356442","980281",100,,"1"
"03356442","980286",100,,"1"
"03356442","980310",100,,"1"
"03356442","980330",100,,"1"
"03356451","900000",48000,,"1"
"03356451","900090",1547,,"1"
"03356451","980000",49547,,"1"
"03356451","980010",3,,"1"
"03356451","980020",42,,"1"
"03356451","980030",1,,"1"
"03356451","980040",3,,"1"
"03356451","980050",1,,"1"
"03356451","980060",1,,"1"
"03356451","980090",100,,"1"
"03356451","980220",100,,"1"
"03356451","980230",100,,"1"
"03356451","980281",100,,"1"
"03356451","980285",100,,"1"
"03356451","980300",100,,"1"
"03356451","980330",100,,"1"
"03356452","900000",48000,,"1"
"03356452","900090",1547,,"1"
"03356452","980000",49547,,"1"
"03356452","980010",3,,"1"
"03356452","980020",42,,"1"
"03356452","980030",1,,"1"
"03356452","980040",3,,"1"
"03356452","980050",1,,"1"
"03356452","980060",1,,"1"
"03356452","980090",100,,"1"
"03356452","980220",100,,"1"
"03356452","980230",100,,"1"
"03356452","980281",100,,"1"
"03356452","980285",100,,"1"
"03356452","980300",100,,"1"
"03356452","980330",100,,"1"
"03356471","900000",51717,,"1"
"03356471","980000",51717,,"1"
"03356471","980010",1,,"1"
"03356471","980020",32,,"1"
