"NEWID","UCC","AMOUNT","IMPNUM","PUB_FLAG","AMOUNT_"
"03111041","900090",8400,"1","1",
"03111041","900090",8400,"2","1",
"03111041","900090",8400,"3","1",
"03111041","900090",8400,"4","1",
"03111041","900090",8400,"5","1",
"03111041","900120",2400,"1","1",
"03111041","900120",2400,"2","1",
"03111041","900120",2400,"3","1",
"03111041","900120",2400,"4","1",
"03111041","900120",2400,"5","1",
"03111041","900150",3600,"1","1",
"03111041","900150",3600,"2","1",
"03111041","900150",3600,"3","1",
"03111041","900150",3600,"4","1",
"03111041","900150",3600,"5","1",
"03111041","980000",14400,"1","1",
"03111041","980000",14400,"2","1",
"03111041","980000",14400,"3","1",
"03111041","980000",14400,"4","1",
"03111041","980000",14400,"5","1",
"03111042","900090",8400,"1","1",
"03111042","900090",8400,"2","1",
"03111042","900090",8400,"3","1",
"03111042","900090",8400,"4","1",
"03111042","900090",8400,"5","1",
"03111042","900120",2400,"1","1",
"03111042","900120",2400,"2","1",
"03111042","900120",2400,"3","1",
"03111042","900120",2400,"4","1",
"03111042","900120",2400,"5","1",
"03111042","900150",3600,"1","1",
"03111042","900150",3600,"2","1",
"03111042","900150",3600,"3","1",
"03111042","900150",3600,"4","1",
"03111042","900150",3600,"5","1",
"03111042","980000",14400,"1","1",
"03111042","980000",14400,"2","1",
"03111042","980000",14400,"3","1",
"03111042","980000",14400,"4","1",
"03111042","980000",14400,"5","1",
"03111051","900000",64000,"1","1",
"03111051","900000",64000,"2","1",
"03111051","900000",64000,"3","1",
"03111051","900000",64000,"4","1",
"03111051","900000",64000,"5","1",
"03111051","980000",64000,"1","1",
"03111051","980000",64000,"2","1",
"03111051","980000",64000,"3","1",
"03111051","980000",64000,"4","1",
"03111051","980000",64000,"5","1",
"03111052","900000",64000,"1","1",
"03111052","900000",64000,"2","1",
"03111052","900000",64000,"3","1",
"03111052","900000",64000,"4","1",
"03111052","900000",64000,"5","1",
"03111052","980000",64000,"1","1",
"03111052","980000",64000,"2","1",
"03111052","980000",64000,"3","1",
"03111052","980000",64000,"4","1",
"03111052","980000",64000,"5","1",
"03111061","900000",12000,"1","1",
"03111061","900000",12000,"2","1",
"03111061","900000",12000,"3","1",
"03111061","900000",12000,"4","1",
"03111061","900000",12000,"5","1",
"03111061","900150",300,"1","1",
"03111061","900150",300,"2","1",
"03111061","900150",300,"3","1",
"03111061","900150",300,"4","1",
"03111061","900150",300,"5","1",
"03111061","980000",12300,"1","1",
"03111061","980000",12300,"2","1",
"03111061","980000",12300,"3","1",
"03111061","980000",12300,"4","1",
"03111061","980000",12300,"5","1",
"03111062","900000",12000,"1","1",
"03111062","900000",12000,"2","1",
"03111062","900000",12000,"3","1",
"03111062","900000",12000,"4","1",
"03111062","900000",12000,"5","1",
"03111062","900150",300,"1","1",
"03111062","900150",300,"2","1",
"03111062","900150",300,"3","1",
"03111062","900150",300,"4","1",
"03111062","900150",300,"5","1",
"03111062","980000",12300,"1","1",
"03111062","980000",12300,"2","1",
"03111062","980000",12300,"3","1",
"03111062","980000",12300,"4","1",
"03111062","980000",12300,"5","1",
"03111071","900000",5243,"1","1",
"03111071","900000",3677,"2","1",
"03111071","900000",2872,"3","1",
"03111071","900000",2887,"4","1",
"03111071","900000",3016,"5","1",
"03111071","900030",10727,"1","1",
"03111071","900030",10727,"2","1",
"03111071","900030",10727,"3","1",
"03111071","900030",10727,"4","1",
"03111071","900030",10727,"5","1",
"03111071","900150",5016,"1","1",
"03111071","900150",5016,"2","1",
"03111071","900150",5016,"3","1",
"03111071","900150",5016,"4","1",
"03111071","900150",5016,"5","1",
"03111071","900210",700,"1","1",
"03111071","900210",700,"2","1",
"03111071","900210",700,"3","1",
"03111071","900210",700,"4","1",
"03111071","900210",700,"5","1",
"03111071","980000",21686,"1","1",
"03111071","980000",20120,"2","1",
"03111071","980000",19315,"3","1",
"03111071","980000",19330,"4","1",
"03111071","980000",19459,"5","1",
"03111072","900000",4129,"1","1",
"03111072","900000",2954,"2","1",
"03111072","900000",2647,"3","1",
"03111072","900000",4509,"4","1",
"03111072","900000",2874,"5","1",
"03111072","900030",10727,"1","1",
"03111072","900030",10727,"2","1",
"03111072","900030",10727,"3","1",
"03111072","900030",10727,"4","1",
"03111072","900030",10727,"5","1",
"03111072","900150",5016,"1","1",
"03111072","900150",5016,"2","1",
"03111072","900150",5016,"3","1",
"03111072","900150",5016,"4","1",
"03111072","900150",5016,"5","1",
"03111072","900210",700,"1","1",
"03111072","900210",700,"2","1",
"03111072","900210",700,"3","1",
"03111072","900210",700,"4","1",
"03111072","900210",700,"5","1",
"03111072","980000",20572,"1","1",
"03111072","980000",19397,"2","1",
"03111072","980000",19090,"3","1",
"03111072","980000",20952,"4","1",
"03111072","980000",19317,"5","1",
"03111091","900030",13632,"1","1",
"03111091","900030",29304,"2","1",
"03111091","900030",10716,"3","1",
"03111091","900030",18072,"4","1",
"03111091","900030",23424,"5","1",
"03111091","900170",26,"1","1",
"03111091","900170",15548,"2","1",
"03111091","900170",24596,"3","1",
"03111091","900170",20943,"4","1",
"03111091","900170",4181,"5","1",
"03111091","980000",13658,"1","1",
"03111091","980000",44852,"2","1",
"03111091","980000",35312,"3","1",
"03111091","980000",39015,"4","1",
"03111091","980000",27605,"5","1",
"03111092","900030",21420,"1","1",
"03111092","900030",22200,"2","1",
"03111092","900030",27984,"3","1",
"03111092","900030",26244,"4","1",
"03111092","900030",24300,"5","1",
"03111092","900170",760,"1","1",
"03111092","900170",7142,"2","1",
"03111092","900170",10306,"3","1",
"03111092","900170",85,"4","1",
"03111092","900170",10558,"5","1",
"03111092","980000",22180,"1","1",
"03111092","980000",29342,"2","1",
"03111092","980000",38290,"3","1",
"03111092","980000",26329,"4","1",
"03111092","980000",34858,"5","1",
"03111111","900000",40000,"1","1",
"03111111","900000",40000,"2","1",
"03111111","900000",40000,"3","1",
"03111111","900000",40000,"4","1",
"03111111","900000",40000,"5","1",
"03111111","980000",40000,"1","1",
"03111111","980000",40000,"2","1",
"03111111","980000",40000,"3","1",
"03111111","980000",40000,"4","1",
"03111111","980000",40000,"5","1",
"03111112","900000",40000,"1","1",
"03111112","900000",40000,"2","1",
"03111112","900000",40000,"3","1",
"03111112","900000",40000,"4","1",
"03111112","900000",40000,"5","1",
"03111112","980000",40000,"1","1",
"03111112","980000",40000,"2","1",
"03111112","980000",40000,"3","1",
"03111112","980000",40000,"4","1",
"03111112","980000",40000,"5","1",
"03111121","800940",3765,"1","1",
"03111121","800940",3765,"2","1",
"03111121","800940",3765,"3","1",
"03111121","800940",3765,"4","1",
"03111121","800940",3765,"5","1",
"03111121","900000",377766,"1","1","T"
"03111121","900000",377766,"2","1","T"
"03111121","900000",377766,"3","1","T"
"03111121","900000",377766,"4","1","T"
"03111121","900000",377766,"5","1","T"
"03111121","900030",10859,"1","1",
"03111121","900030",10859,"2","1",
"03111121","900030",10859,"3","1",
"03111121","900030",10859,"4","1",
"03111121","900030",10859,"5","1",
"03111121","900160",-9215,"1","1","T"
"03111121","900160",-9215,"2","1","T"
"03111121","900160",-9215,"3","1","T"
"03111121","900160",-9215,"4","1","T"
"03111121","900160",-9215,"5","1","T"
"03111121","900170",37600,"1","1",
"03111121","900170",37600,"2","1",
"03111121","900170",37600,"3","1",
"03111121","900170",37600,"4","1",
"03111121","900170",37600,"5","1",
"03111121","900180",65597,"1","1","T"
"03111121","900180",65597,"2","1","T"
"03111121","900180",65597,"3","1","T"
"03111121","900180",65597,"4","1","T"
"03111121","900180",65597,"5","1","T"
"03111121","900210",1320,"1","1",
"03111121","900210",1320,"2","1",
"03111121","900210",1320,"3","1",
"03111121","900210",1320,"4","1",
"03111121","900210",1320,"5","1",
"03111121","980000",483927,"1","1","T"
"03111121","980000",483927,"2","1","T"
"03111121","980000",483927,"3","1","T"
"03111121","980000",483927,"4","1","T"
"03111121","980000",483927,"5","1","T"
"03111122","800940",3765,"1","1",
"03111122","800940",3765,"2","1",
"03111122","800940",3765,"3","1",
"03111122","800940",3765,"4","1",
"03111122","800940",3765,"5","1",
"03111122","900000",377766,"1","1","T"
"03111122","900000",377766,"2","1","T"
"03111122","900000",377766,"3","1","T"
"03111122","900000",377766,"4","1","T"
"03111122","900000",377766,"5","1","T"
"03111122","900030",10859,"1","1",
"03111122","900030",10859,"2","1",
"03111122","900030",10859,"3","1",
"03111122","900030",10859,"4","1",
"03111122","900030",10859,"5","1",
"03111122","900160",-9215,"1","1","T"
"03111122","900160",-9215,"2","1","T"
"03111122","900160",-9215,"3","1","T"
"03111122","900160",-9215,"4","1","T"
"03111122","900160",-9215,"5","1","T"
"03111122","900170",37600,"1","1",
"03111122","900170",37600,"2","1",
"03111122","900170",37600,"3","1",
"03111122","900170",37600,"4","1",
"03111122","900170",37600,"5","1",
"03111122","900180",65597,"1","1","T"
"03111122","900180",65597,"2","1","T"
"03111122","900180",65597,"3","1","T"
"03111122","900180",65597,"4","1","T"
"03111122","900180",65597,"5","1","T"
"03111122","900210",1320,"1","1",
"03111122","900210",1320,"2","1",
"03111122","900210",1320,"3","1",
"03111122","900210",1320,"4","1",
"03111122","900210",1320,"5","1",
"03111122","980000",483927,"1","1","T"
"03111122","980000",483927,"2","1","T"
"03111122","980000",483927,"3","1","T"
"03111122","980000",483927,"4","1","T"
"03111122","980000",483927,"5","1","T"
"03111151","800940",11605,"1","1","T"
"03111151","800940",11605,"2","1","T"
"03111151","800940",11605,"3","1","T"
"03111151","800940",11605,"4","1","T"
"03111151","800940",11605,"5","1","T"
"03111151","900000",24500,"1","1",
"03111151","900000",24500,"2","1",
"03111151","900000",24500,"3","1",
"03111151","900000",24500,"4","1",
"03111151","900000",24500,"5","1",
"03111151","900160",22643,"1","1",
"03111151","900160",412,"2","1",
"03111151","900160",135149,"3","1",
"03111151","900160",1,"4","1",
"03111151","900160",46687,"5","1",
"03111151","900180",125,"1","1",
"03111151","900180",125,"2","1",
"03111151","900180",125,"3","1",
"03111151","900180",125,"4","1",
"03111151","900180",125,"5","1",
"03111151","980000",47268,"1","1",
"03111151","980000",25037,"2","1",
"03111151","980000",159774,"3","1",
"03111151","980000",24626,"4","1",
"03111151","980000",71312,"5","1",
"03111152","800940",11605,"1","1","T"
"03111152","800940",11605,"2","1","T"
"03111152","800940",11605,"3","1","T"
"03111152","800940",11605,"4","1","T"
"03111152","800940",11605,"5","1","T"
"03111152","900000",24500,"1","1",
"03111152","900000",24500,"2","1",
"03111152","900000",24500,"3","1",
"03111152","900000",24500,"4","1",
"03111152","900000",24500,"5","1",
"03111152","900160",46714,"1","1",
"03111152","900160",77957,"2","1",
"03111152","900160",39510,"3","1",
"03111152","900160",20004,"4","1",
"03111152","900160",60009,"5","1",
"03111152","900180",125,"1","1",
"03111152","900180",125,"2","1",
"03111152","900180",125,"3","1",
"03111152","900180",125,"4","1",
"03111152","900180",125,"5","1",
"03111152","980000",71339,"1","1",
"03111152","980000",102582,"2","1",
"03111152","980000",64135,"3","1",
"03111152","980000",44629,"4","1",
"03111152","980000",84634,"5","1",
"03111191","900000",36548,"1","1",
"03111191","900000",55018,"2","1",
"03111191","900000",96500,"3","1",
"03111191","900000",55447,"4","1",
"03111191","900000",75486,"5","1",
"03111191","980000",36548,"1","1",
"03111191","980000",55018,"2","1",
"03111191","980000",96500,"3","1",
"03111191","980000",55447,"4","1",
"03111191","980000",75486,"5","1",
"03111231","900000",89447,"1","1",
"03111231","900000",48621,"2","1",
"03111231","900000",42677,"3","1",
"03111231","900000",29395,"4","1",
"03111231","900000",84373,"5","1",
