NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
03975291,900000,72000,1,1,
03975291,900000,72000,2,1,
03975291,900000,72000,3,1,
03975291,900000,72000,4,1,
03975291,900000,72000,5,1,
03975291,900180,7,1,1,
03975291,900180,7,2,1,
03975291,900180,7,3,1,
03975291,900180,7,4,1,
03975291,900180,7,5,1,
03975291,980000,72007,1,1,
03975291,980000,72007,2,1,
03975291,980000,72007,3,1,
03975291,980000,72007,4,1,
03975291,980000,72007,5,1,
03975292,900000,72000,1,1,
03975292,900000,72000,2,1,
03975292,900000,72000,3,1,
03975292,900000,72000,4,1,
03975292,900000,72000,5,1,
03975292,900180,7,1,1,
03975292,900180,7,2,1,
03975292,900180,7,3,1,
03975292,900180,7,4,1,
03975292,900180,7,5,1,
03975292,980000,72007,1,1,
03975292,980000,72007,2,1,
03975292,980000,72007,3,1,
03975292,980000,72007,4,1,
03975292,980000,72007,5,1,
03975311,900000,8000,1,1,
03975311,900000,8000,2,1,
03975311,900000,8000,3,1,
03975311,900000,8000,4,1,
03975311,900000,8000,5,1,
03975311,900030,8808,1,1,
03975311,900030,8808,2,1,
03975311,900030,8808,3,1,
03975311,900030,8808,4,1,
03975311,900030,8808,5,1,
03975311,980000,16808,1,1,
03975311,980000,16808,2,1,
03975311,980000,16808,3,1,
03975311,980000,16808,4,1,
03975311,980000,16808,5,1,
03975312,900000,8000,1,1,
03975312,900000,8000,2,1,
03975312,900000,8000,3,1,
03975312,900000,8000,4,1,
03975312,900000,8000,5,1,
03975312,900030,8808,1,1,
03975312,900030,8808,2,1,
03975312,900030,8808,3,1,
03975312,900030,8808,4,1,
03975312,900030,8808,5,1,
03975312,980000,16808,1,1,
03975312,980000,16808,2,1,
03975312,980000,16808,3,1,
03975312,980000,16808,4,1,
03975312,980000,16808,5,1,
03975341,900030,7440,1,1,
03975341,900030,15528,2,1,
03975341,900030,10560,3,1,
03975341,900030,6828,4,1,
03975341,900030,8292,5,1,
03975341,980000,7440,1,1,
03975341,980000,15528,2,1,
03975341,980000,10560,3,1,
03975341,980000,6828,4,1,
03975341,980000,8292,5,1,
03975342,900030,16572,1,1,
03975342,900030,20484,2,1,
03975342,900030,28104,3,1,
03975342,900030,9804,4,1,
03975342,900030,21888,5,1,
03975342,900090,733,1,1,
03975342,900090,839,2,1,
03975342,900090,703,3,1,
03975342,900090,208,4,1,
03975342,900090,219,5,1,
03975342,980000,17305,1,1,
03975342,980000,21323,2,1,
03975342,980000,28807,3,1,
03975342,980000,10012,4,1,
03975342,980000,22107,5,1,
03975371,900030,13836,1,1,
03975371,900030,13836,2,1,
03975371,900030,13836,3,1,
03975371,900030,13836,4,1,
03975371,900030,13836,5,1,
03975371,900170,284,1,1,
03975371,900170,284,2,1,
03975371,900170,284,3,1,
03975371,900170,284,4,1,
03975371,900170,284,5,1,
03975371,980000,14120,1,1,
03975371,980000,14120,2,1,
03975371,980000,14120,3,1,
03975371,980000,14120,4,1,
03975371,980000,14120,5,1,
03975372,900030,13836,1,1,
03975372,900030,13836,2,1,
03975372,900030,13836,3,1,
03975372,900030,13836,4,1,
03975372,900030,13836,5,1,
03975372,900170,284,1,1,
03975372,900170,284,2,1,
03975372,900170,284,3,1,
03975372,900170,284,4,1,
03975372,900170,284,5,1,
03975372,980000,14120,1,1,
03975372,980000,14120,2,1,
03975372,980000,14120,3,1,
03975372,980000,14120,4,1,
03975372,980000,14120,5,1,
03975391,900000,270000,1,1,
03975391,900000,270000,2,1,
03975391,900000,270000,3,1,
03975391,900000,270000,4,1,
03975391,900000,270000,5,1,
03975391,900180,200,1,1,
03975391,900180,200,2,1,
03975391,900180,200,3,1,
03975391,900180,200,4,1,
03975391,900180,200,5,1,
03975391,980000,270200,1,1,
03975391,980000,270200,2,1,
03975391,980000,270200,3,1,
03975391,980000,270200,4,1,
03975391,980000,270200,5,1,
03975392,900000,270000,1,1,
03975392,900000,270000,2,1,
03975392,900000,270000,3,1,
03975392,900000,270000,4,1,
03975392,900000,270000,5,1,
03975392,900180,200,1,1,
03975392,900180,200,2,1,
03975392,900180,200,3,1,
03975392,900180,200,4,1,
03975392,900180,200,5,1,
03975392,980000,270200,1,1,
03975392,980000,270200,2,1,
03975392,980000,270200,3,1,
03975392,980000,270200,4,1,
03975392,980000,270200,5,1,
03975401,900030,16788,1,1,
03975401,900030,16788,2,1,
03975401,900030,16788,3,1,
03975401,900030,16788,4,1,
03975401,900030,16788,5,1,
03975401,900170,385,1,1,
03975401,900170,385,2,1,
03975401,900170,385,3,1,
03975401,900170,385,4,1,
03975401,900170,385,5,1,
03975401,900180,284,1,1,
03975401,900180,38,2,1,
03975401,900180,103,3,1,
03975401,900180,87,4,1,
03975401,900180,9,5,1,
03975401,900200,54000,1,1,
03975401,900200,54000,2,1,
03975401,900200,54000,3,1,
03975401,900200,54000,4,1,
03975401,900200,54000,5,1,
03975401,980000,71457,1,1,
03975401,980000,71211,2,1,
03975401,980000,71276,3,1,
03975401,980000,71260,4,1,
03975401,980000,71182,5,1,
03975402,900030,16788,1,1,
03975402,900030,16788,2,1,
03975402,900030,16788,3,1,
03975402,900030,16788,4,1,
03975402,900030,16788,5,1,
03975402,900170,385,1,1,
03975402,900170,385,2,1,
03975402,900170,385,3,1,
03975402,900170,385,4,1,
03975402,900170,385,5,1,
03975402,900180,117,1,1,
03975402,900180,21,2,1,
03975402,900180,70,3,1,
03975402,900180,69,4,1,
03975402,900180,47,5,1,
03975402,900200,54000,1,1,
03975402,900200,54000,2,1,
03975402,900200,54000,3,1,
03975402,900200,54000,4,1,
03975402,900200,54000,5,1,
03975402,980000,71290,1,1,
03975402,980000,71194,2,1,
03975402,980000,71243,3,1,
