"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900000",130000,"4",1482581,"1",
"900000",130000,"5",1482581,"1",
"900180",10,"1",1482581,"1",
"900180",10,"2",1482581,"1",
"900180",10,"3",1482581,"1",
"900180",10,"4",1482581,"1",
"900180",10,"5",1482581,"1",
"980000",130010,"1",1482581,"1",
"980000",130010,"2",1482581,"1",
"980000",130010,"3",1482581,"1",
"980000",130010,"4",1482581,"1",
"980000",130010,"5",1482581,"1",
"980070",122210,"1",1482581,"1",
"980070",122210,"2",1482581,"1",
"980070",122210,"3",1482581,"1",
"980070",122210,"4",1482581,"1",
"980070",122210,"5",1482581,"1",
"900000",130000,"1",1482582,"1",
"900000",130000,"2",1482582,"1",
"900000",130000,"3",1482582,"1",
"900000",130000,"4",1482582,"1",
"900000",130000,"5",1482582,"1",
"900180",10,"1",1482582,"1",
"900180",10,"2",1482582,"1",
"900180",10,"3",1482582,"1",
"900180",10,"4",1482582,"1",
"900180",10,"5",1482582,"1",
"980000",130010,"1",1482582,"1",
"980000",130010,"2",1482582,"1",
"980000",130010,"3",1482582,"1",
"980000",130010,"4",1482582,"1",
"980000",130010,"5",1482582,"1",
"980070",122210,"1",1482582,"1",
"980070",122210,"2",1482582,"1",
"980070",122210,"3",1482582,"1",
"980070",122210,"4",1482582,"1",
"980070",122210,"5",1482582,"1",
"800940",10512,"1",1482591,"1","T"
"800940",10512,"2",1482591,"1","T"
"800940",10512,"3",1482591,"1","T"
"800940",10512,"4",1482591,"1","T"
"800940",10512,"5",1482591,"1","T"
"900000",200000,"1",1482591,"1",
"900000",200000,"2",1482591,"1",
"900000",200000,"3",1482591,"1",
"900000",200000,"4",1482591,"1",
"900000",200000,"5",1482591,"1",
"900090",7200,"1",1482591,"1",
"900090",7200,"2",1482591,"1",
"900090",7200,"3",1482591,"1",
"900090",7200,"4",1482591,"1",
"900090",7200,"5",1482591,"1",
"900160",30000,"1",1482591,"1",
"900160",30000,"2",1482591,"1",
"900160",30000,"3",1482591,"1",
"900160",30000,"4",1482591,"1",
"900160",30000,"5",1482591,"1",
"900180",4000,"1",1482591,"1",
"900180",4000,"2",1482591,"1",
"900180",4000,"3",1482591,"1",
"900180",4000,"4",1482591,"1",
