"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
"04204761","800932","5500","","1"
"04204761","900000","45000","","1"
"04204761","900180","62","","1"
"04204761","980000","45062","","1"
"04204761","980010","1","","1"
"04204761","980020","39","","1"
"04204761","980030","1","","1"
"04204761","980040","1","","1"
"04204761","980210","100","","1"
"04204761","980260","100","","1"
"04204761","980281","100","","1"
"04204761","980285","100","","1"
"04204761","980310","100","","1"
"04204761","980330","100","","1"
"04204762","800932","5500","","1"
"04204762","900000","45000","","1"
"04204762","900180","192","","1"
"04204762","980000","45192","","1"
"04204762","980010","1","","1"
"04204762","980020","39","","1"
"04204762","980030","1","","1"
"04204762","980040","1","","1"
"04204762","980210","100","","1"
"04204762","980260","100","","1"
"04204762","980281","100","","1"
"04204762","980285","100","","1"
"04204762","980310","100","","1"
"04204762","980330","100","","1"
"04204791","800940","2846","","1"
"04204791","900000","122000","","1"
"04204791","900160","14603","","1"
"04204791","980000","136603","","1"
"04204791","980010","4","","1"
"04204791","980020","43","","1"
"04204791","980030","2","","1"
"04204791","980040","2","","1"
"04204791","980050","2","","1"
"04204791","980090","100","","1"
"04204791","980220","100","","1"
"04204791","980230","100","","1"
"04204791","980281","100","","1"
"04204791","980286","100","","1"
"04204791","980310","100","","1"
"04204791","980330","100","","1"
"04204792","800940","14646","T","1"
"04204792","900000","122000","","1"
"04204792","900160","52804","","1"
"04204792","980000","174804","","1"
"04204792","980010","4","","1"
"04204792","980020","43","","1"
"04204792","980030","2","","1"
"04204792","980040","2","","1"
"04204792","980050","2","","1"
"04204792","980090","100","","1"
"04204792","980220","100","","1"
"04204792","980230","100","","1"
"04204792","980281","100","","1"
"04204792","980286","100","","1"
"04204792","980310","100","","1"
"04204792","980330","100","","1"
"04204801","900000","3500","","1"
"04204801","980000","3500","","1"
"04204801","980010","1","","1"
"04204801","980020","21","","1"
"04204801","980030","1","","1"
"04204801","980040","1","","1"
"04204801","980210","100","","1"
"04204801","980260","100","","1"
"04204801","980282","100","","1"
"04204801","980286","100","","1"
"04204801","980310","100","","1"
"04204801","980330","100","","1"
"04204802","900000","3500","","1"
"04204802","980000","3500","","1"
"04204802","980010","1","","1"
"04204802","980020","21","","1"
"04204802","980030","1","","1"
"04204802","980040","1","","1"
"04204802","980210","100","","1"
"04204802","980260","100","","1"
"04204802","980282","100","","1"
"04204802","980286","100","","1"
"04204802","980310","100","","1"
"04204802","980330","100","","1"
"04204811","900000","97742","","1"
"04204811","900180","40","","1"
"04204811","900210","1644","","1"
"04204811","980000","99426","","1"
"04204811","980010","1","","1"
"04204811","980020","55","","1"
"04204811","980030","1","","1"
"04204811","980040","2","","1"
"04204811","980090","100","","1"
"04204811","980210","100","","1"
"04204811","980240","100","","1"
"04204811","980281","100","","1"
"04204811","980286","100","","1"
"04204811","980310","100","","1"
"04204811","980330","100","","1"
"04204812","900000","95533","","1"
"04204812","900180","40","","1"
"04204812","900210","1644","","1"
"04204812","980000","97217","","1"
"04204812","980010","1","","1"
"04204812","980020","55","","1"
"04204812","980030","1","","1"
"04204812","980040","2","","1"
"04204812","980090","100","","1"
"04204812","980210","100","","1"
"04204812","980240","100","","1"
"04204812","980281","100","","1"
"04204812","980286","100","","1"
"04204812","980310","100","","1"
"04204812","980330","100","","1"
"04204821","800932","25000","","1"
"04204821","800940","14646","T","1"
"04204821","900000","228857","T","1"
"04204821","900030","27068","","1"
"04204821","900160","200824","T","1"
"04204821","980000","456749","T","1"
"04204821","980010","2","","1"
"04204821","980020","64","","1"
"04204821","980030","1","","1"
"04204821","980040","3","","1"
"04204821","980060","1","","1"
"04204821","980090","100","","1"
"04204821","980210","100","","1"
"04204821","980230","100","","1"
"04204821","980281","100","","1"
"04204821","980286","100","","1"
"04204821","980310","100","","1"
"04204821","980330","100","","1"
"04204822","800932","25000","","1"
"04204822","800940","14646","T","1"
"04204822","900000","228857","T","1"
"04204822","900030","27367","","1"
"04204822","900160","200824","T","1"
"04204822","980000","457048","T","1"
"04204822","980010","2","","1"
"04204822","980020","64","","1"
"04204822","980030","1","","1"
"04204822","980040","3","","1"
"04204822","980060","1","","1"
"04204822","980090","100","","1"
"04204822","980210","100","","1"
"04204822","980230","100","","1"
"04204822","980281","100","","1"
"04204822","980286","100","","1"
"04204822","980310","100","","1"
"04204822","980330","100","","1"
"04204831","900000","30000","","1"
"04204831","900030","15600","","1"
"04204831","900180","105","","1"
"04204831","980000","45705","","1"
"04204831","980010","1","","1"
"04204831","980020","73","","1"
"04204831","980030","1","","1"
"04204831","980040","1","","1"
"04204831","980060","1","","1"
"04204831","980090","100","","1"
"04204831","980220","100","","1"
"04204831","980240","100","","1"
"04204831","980281","100","","1"
"04204831","980286","100","","1"
"04204831","980300","100","","1"
"04204831","980330","100","","1"
"04204832","900000","30000","","1"
"04204832","900030","15600","","1"
"04204832","900180","40","","1"
"04204832","980000","45640","","1"
"04204832","980010","1","","1"
"04204832","980020","73","","1"
"04204832","980030","1","","1"
"04204832","980040","1","","1"
"04204832","980060","1","","1"
"04204832","980090","100","","1"
"04204832","980220","100","","1"
"04204832","980240","100","","1"
"04204832","980281","100","","1"
"04204832","980286","100","","1"
"04204832","980300","100","","1"
"04204832","980330","100","","1"
"04204841","900000","87000","","1"
"04204841","900030","25234","","1"
"04204841","980000","112234","","1"
"04204841","980010","2","","1"
"04204841","980020","61","","1"
"04204841","980030","1","","1"
"04204841","980040","2","","1"
"04204841","980060","1","","1"
"04204841","980090","100","","1"
"04204841","980210","100","","1"
"04204841","980240","100","","1"
"04204841","980282","100","","1"
"04204841","980286","100","","1"
