"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"800940",1709,"1",1354851,"1",
"800940",1763,"2",1354851,"1",
"800940",2210,"3",1354851,"1",
"800940",2372,"4",1354851,"1",
"800940",1821,"5",1354851,"1",
"900000",22345,"1",1354851,"1",
"900000",23041,"2",1354851,"1",
"900000",28884,"3",1354851,"1",
"900000",31002,"4",1354851,"1",
"900000",23800,"5",1354851,"1",
"900150",7992,"1",1354851,"1",
"900150",5052,"2",1354851,"1",
"900150",7968,"3",1354851,"1",
"900150",6996,"4",1354851,"1",
"900150",2604,"5",1354851,"1",
"980000",30337,"1",1354851,"1",
"980000",28093,"2",1354851,"1",
"980000",36852,"3",1354851,"1",
"980000",37998,"4",1354851,"1",
"980000",26404,"5",1354851,"1",
"980070",30337,"1",1354851,"1",
"980070",28093,"2",1354851,"1",
"980070",36852,"3",1354851,"1",
"980070",37998,"4",1354851,"1",
"980070",26404,"5",1354851,"1",
"800940",2019,"1",1354852,"1",
"800940",1902,"2",1354852,"1",
"800940",2264,"3",1354852,"1",
"800940",2010,"4",1354852,"1",
"800940",1980,"5",1354852,"1",
"900000",26397,"1",1354852,"1",
"900000",24863,"2",1354852,"1",
"900000",29592,"3",1354852,"1",
"900000",26272,"4",1354852,"1",
"900000",25878,"5",1354852,"1",
"900150",4476,"1",1354852,"1",
"900150",12072,"2",1354852,"1",
"900150",3000,"3",1354852,"1",
"900150",4272,"4",1354852,"1",
"900150",12144,"5",1354852,"1",
"980000",30873,"1",1354852,"1",
"980000",36935,"2",1354852,"1",
"980000",32592,"3",1354852,"1",
"980000",30544,"4",1354852,"1",
"980000",38022,"5",1354852,"1",
"980070",30873,"1",1354852,"1",
"980070",36935,"2",1354852,"1",
"980070",32592,"3",1354852,"1",
"980070",30544,"4",1354852,"1",
"980070",38022,"5",1354852,"1",
"800940",918,"1",1354871,"1",
"800940",918,"2",1354871,"1",
"800940",918,"3",1354871,"1",
"800940",918,"4",1354871,"1",
"800940",918,"5",1354871,"1",
"900000",12000,"1",1354871,"1",
"900000",12000,"2",1354871,"1",
"900000",12000,"3",1354871,"1",
"900000",12000,"4",1354871,"1",
"900000",12000,"5",1354871,"1",
"900030",24000,"1",1354871,"1",
"900030",24000,"2",1354871,"1",
"900030",24000,"3",1354871,"1",
"900030",24000,"4",1354871,"1",
"900030",24000,"5",1354871,"1",
"900040",72000,"1",1354871,"1",
"900040",72000,"2",1354871,"1",
"900040",72000,"3",1354871,"1",
"900040",72000,"4",1354871,"1",
"900040",72000,"5",1354871,"1",
"980000",108000,"1",1354871,"1",
"980000",108000,"2",1354871,"1",
"980000",108000,"3",1354871,"1",
"980000",108000,"4",1354871,"1",
"980000",108000,"5",1354871,"1",
"980070",99000,"1",1354871,"1",
"980070",99000,"2",1354871,"1",
"980070",99000,"3",1354871,"1",
"980070",99000,"4",1354871,"1",
"980070",99000,"5",1354871,"1",
"800940",918,"1",1354872,"1",
"800940",918,"2",1354872,"1",
"800940",918,"3",1354872,"1",
"800940",918,"4",1354872,"1",
"800940",918,"5",1354872,"1",
"900000",12000,"1",1354872,"1",
"900000",12000,"2",1354872,"1",
"900000",12000,"3",1354872,"1",
"900000",12000,"4",1354872,"1",
"900000",12000,"5",1354872,"1",
"900030",24000,"1",1354872,"1",
"900030",24000,"2",1354872,"1",
"900030",24000,"3",1354872,"1",
"900030",24000,"4",1354872,"1",
"900030",24000,"5",1354872,"1",
"900040",72000,"1",1354872,"1",
"900040",72000,"2",1354872,"1",
"900040",72000,"3",1354872,"1",
"900040",72000,"4",1354872,"1",
"900040",72000,"5",1354872,"1",
"980000",108000,"1",1354872,"1",
"980000",108000,"2",1354872,"1",
"980000",108000,"3",1354872,"1",
"980000",108000,"4",1354872,"1",
"980000",108000,"5",1354872,"1",
"980070",99000,"1",1354872,"1",
"980070",99000,"2",1354872,"1",
"980070",99000,"3",1354872,"1",
"980070",99000,"4",1354872,"1",
"980070",99000,"5",1354872,"1",
"900030",9299,"1",1354881,"1",
"900030",9299,"2",1354881,"1",
"900030",9299,"3",1354881,"1",
"900030",9299,"4",1354881,"1",
"900030",9299,"5",1354881,"1",
"980000",9299,"1",1354881,"1",
"980000",9299,"2",1354881,"1",
"980000",9299,"3",1354881,"1",
"980000",9299,"4",1354881,"1",
"980000",9299,"5",1354881,"1",
"980070",9299,"1",1354881,"1",
"980070",9299,"2",1354881,"1",
"980070",9299,"3",1354881,"1",
"980070",9299,"4",1354881,"1",
"980070",9299,"5",1354881,"1",
"900030",9299,"1",1354882,"1",
"900030",9299,"2",1354882,"1",
"900030",9299,"3",1354882,"1",
"900030",9299,"4",1354882,"1",
"900030",9299,"5",1354882,"1",
"980000",9299,"1",1354882,"1",
"980000",9299,"2",1354882,"1",
"980000",9299,"3",1354882,"1",
"980000",9299,"4",1354882,"1",
"980000",9299,"5",1354882,"1",
"980070",9299,"1",1354882,"1",
"980070",9299,"2",1354882,"1",
"980070",9299,"3",1354882,"1",
"980070",9299,"4",1354882,"1",
"980070",9299,"5",1354882,"1",
"900030",3671,"1",1354891,"1",
"900030",3671,"2",1354891,"1",
"900030",3671,"3",1354891,"1",
"900030",3671,"4",1354891,"1",
"900030",3671,"5",1354891,"1",
"980000",3671,"1",1354891,"1",
"980000",3671,"2",1354891,"1",
"980000",3671,"3",1354891,"1",
"980000",3671,"4",1354891,"1",
"980000",3671,"5",1354891,"1",
"980070",4053,"1",1354891,"1",
"980070",4053,"2",1354891,"1",
"980070",4053,"3",1354891,"1",
"980070",4053,"4",1354891,"1",
"980070",4053,"5",1354891,"1",
"900030",3671,"1",1354892,"1",
"900030",3671,"2",1354892,"1",
"900030",3671,"3",1354892,"1",
"900030",3671,"4",1354892,"1",
"900030",3671,"5",1354892,"1",
"980000",3671,"1",1354892,"1",
"980000",3671,"2",1354892,"1",
"980000",3671,"3",1354892,"1",
"980000",3671,"4",1354892,"1",
"980000",3671,"5",1354892,"1",
"980070",4053,"1",1354892,"1",
"980070",4053,"2",1354892,"1",
"980070",4053,"3",1354892,"1",
"980070",4053,"4",1354892,"1",
"980070",4053,"5",1354892,"1",
"800940",4743,"1",1354911,"1",
"800940",4743,"2",1354911,"1",
"800940",4743,"3",1354911,"1",
"800940",4743,"4",1354911,"1",
"800940",4743,"5",1354911,"1",
"900000",62000,"1",1354911,"1",
"900000",62000,"2",1354911,"1",
"900000",62000,"3",1354911,"1",
"900000",62000,"4",1354911,"1",
"900000",62000,"5",1354911,"1",
"980000",62000,"1",1354911,"1",
"980000",62000,"2",1354911,"1",
"980000",62000,"3",1354911,"1",
"980000",62000,"4",1354911,"1",
"980000",62000,"5",1354911,"1",
"980070",61850,"1",1354911,"1",
"980070",61850,"2",1354911,"1",
"980070",61850,"3",1354911,"1",
"980070",61850,"4",1354911,"1",
"980070",61850,"5",1354911,"1",
"800940",4743,"1",1354912,"1",
"800940",4743,"2",1354912,"1",
"800940",4743,"3",1354912,"1",
"800940",4743,"4",1354912,"1",
"800940",4743,"5",1354912,"1",
"900000",62000,"1",1354912,"1",
"900000",62000,"2",1354912,"1",
"900000",62000,"3",1354912,"1",
"900000",62000,"4",1354912,"1",
"900000",62000,"5",1354912,"1",
"980000",62000,"1",1354912,"1",
"980000",62000,"2",1354912,"1",
"980000",62000,"3",1354912,"1",
"980000",62000,"4",1354912,"1",
"980000",62000,"5",1354912,"1",
"980070",61850,"1",1354912,"1",
"980070",61850,"2",1354912,"1",
"980070",61850,"3",1354912,"1",
"980070",61850,"4",1354912,"1",
"980070",61850,"5",1354912,"1",
"800940",3992,"1",1354931,"1",
"800940",5870,"2",1354931,"1",
"800940",7472,"3",1354931,"1",
"800940",7675,"4",1354931,"1",
"800940",4598,"5",1354931,"1",
"900000",52185,"1",1354931,"1",
"900000",76731,"2",1354931,"1",
"900000",97684,"3",1354931,"1",
"900000",100325,"4",1354931,"1",
"900000",60108,"5",1354931,"1",
"980000",52185,"1",1354931,"1",
"980000",76731,"2",1354931,"1",
"980000",97684,"3",1354931,"1",
"980000",100325,"4",1354931,"1",
"980000",60108,"5",1354931,"1",
"980070",52185,"1",1354931,"1",
"980070",76731,"2",1354931,"1",
"980070",97684,"3",1354931,"1",
"980070",100325,"4",1354931,"1",
"980070",60108,"5",1354931,"1",
"800940",8001,"1",1354932,"1",
"800940",3758,"2",1354932,"1",
"800940",8098,"3",1354932,"1",
"800940",6267,"4",1354932,"1",
"800940",8314,"5",1354932,"1",
"900000",104586,"1",1354932,"1",
"900000",49119,"2",1354932,"1",
"900000",105862,"3",1354932,"1",
"900000",81920,"4",1354932,"1",
"900000",108682,"5",1354932,"1",
"980000",104586,"1",1354932,"1",
"980000",49119,"2",1354932,"1",
"980000",105862,"3",1354932,"1",
"980000",81920,"4",1354932,"1",
"980000",108682,"5",1354932,"1",
"980070",104586,"1",1354932,"1",
"980070",49119,"2",1354932,"1",
"980070",105862,"3",1354932,"1",
"980070",81920,"4",1354932,"1",
"980070",108682,"5",1354932,"1",
"900030",26026,"1",1354951,"1",
"900030",23122,"2",1354951,"1",
"900030",23134,"3",1354951,"1",
"900030",27214,"4",1354951,"1",
"900030",22654,"5",1354951,"1",
"980000",26026,"1",1354951,"1",
"980000",23122,"2",1354951,"1",
"980000",23134,"3",1354951,"1",
"980000",27214,"4",1354951,"1",
"980000",22654,"5",1354951,"1",
"980070",26026,"1",1354951,"1",
"980070",23122,"2",1354951,"1",
"980070",23134,"3",1354951,"1",
"980070",27214,"4",1354951,"1",
"980070",22654,"5",1354951,"1",
"900030",23230,"1",1354952,"1",
"900030",27034,"2",1354952,"1",
"900030",26734,"3",1354952,"1",
"900030",26626,"4",1354952,"1",
"900030",25042,"5",1354952,"1",
"980000",23230,"1",1354952,"1",
"980000",27034,"2",1354952,"1",
"980000",26734,"3",1354952,"1",
"980000",26626,"4",1354952,"1",
"980000",25042,"5",1354952,"1",
"980070",23230,"1",1354952,"1",
"980070",27034,"2",1354952,"1",
"980070",26734,"3",1354952,"1",
"980070",26626,"4",1354952,"1",
"980070",25042,"5",1354952,"1",
