"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
1419321,"900000",19395,,"1"
1419321,"980000",19395,,"1"
1419321,"980010",2,,"1"
1419321,"980020",37,,"1"
1419321,"980030",1,,"1"
1419321,"980040",1,,"1"
1419321,"980070",19395,,"1"
1419321,"980220",100,,"1"
1419321,"980260",100,,"1"
1419321,"980281",100,,"1"
1419321,"980285",100,,"1"
1419321,"980290",100,,"1"
1419321,"980330",100,,"1"
1419322,"900000",13049,,"1"
1419322,"980000",13049,,"1"
1419322,"980010",2,,"1"
1419322,"980020",28,,"1"
1419322,"980030",1,,"1"
1419322,"980040",1,,"1"
1419322,"980070",13049,,"1"
1419322,"980220",100,,"1"
1419322,"980260",100,,"1"
1419322,"980281",100,,"1"
1419322,"980285",100,,"1"
1419322,"980290",100,,"1"
1419322,"980330",100,,"1"
1419341,"900000",20559,,"1"
1419341,"980000",20559,,"1"
1419341,"980010",1,,"1"
1419341,"980020",54,,"1"
1419341,"980030",1,,"1"
1419341,"980070",20559,,"1"
1419341,"980220",100,,"1"
1419341,"980260",100,,"1"
1419341,"980270",100,,"1"
1419341,"980286",100,,"1"
1419341,"980300",100,,"1"
1419342,"900000",13380,,"1"
1419342,"980000",13380,,"1"
1419342,"980010",1,,"1"
1419342,"980020",54,,"1"
1419342,"980030",1,,"1"
1419342,"980070",13380,,"1"
1419342,"980220",100,,"1"
1419342,"980260",100,,"1"
1419342,"980270",100,,"1"
1419342,"980286",100,,"1"
1419342,"980300",100,,"1"
1419351,"900000",113609,,"1"
1419351,"900180",201,,"1"
1419351,"980000",113811,,"1"
1419351,"980010",4,,"1"
1419351,"980020",58,,"1"
1419351,"980030",4,,"1"
1419351,"980040",3,,"1"
1419351,"980070",113811,,"1"
1419351,"980090",100,,"1"
1419351,"980210",100,,"1"
1419351,"980230",100,,"1"
1419351,"980281",100,,"1"
1419351,"980286",100,,"1"
1419351,"980300",100,,"1"
1419351,"980330",100,,"1"
1419352,"900000",111694,,"1"
1419352,"900180",4598,,"1"
1419352,"980000",116292,,"1"
1419352,"980010",4,,"1"
1419352,"980020",58,,"1"
1419352,"980030",4,,"1"
1419352,"980040",3,,"1"
1419352,"980070",116292,,"1"
1419352,"980090",100,,"1"
1419352,"980210",100,,"1"
1419352,"980230",100,,"1"
1419352,"980281",100,,"1"
1419352,"980286",100,,"1"
1419352,"980300",100,,"1"
1419352,"980330",100,,"1"
1419371,"900000",12000,,"1"
1419371,"900150",4200,,"1"
1419371,"950001",-3000,,"1"
1419371,"950011",-980,,"1"
1419371,"980000",16200,,"1"
1419371,"980010",4,,"1"
1419371,"980020",43,,"1"
1419371,"980030",1,,"1"
1419371,"980050",2,,"1"
1419371,"980070",20180,,"1"
1419371,"980220",100,,"1"
1419371,"980260",100,,"1"
1419371,"980270",100,,"1"
1419371,"980285",100,,"1"
1419371,"980310",100,,"1"
1419372,"900000",12000,,"1"
1419372,"900150",4200,,"1"
1419372,"950001",-3000,,"1"
1419372,"950011",-980,,"1"
1419372,"980000",16200,,"1"
1419372,"980010",4,,"1"
1419372,"980020",43,,"1"
1419372,"980030",1,,"1"
1419372,"980050",2,,"1"
1419372,"980070",20180,,"1"
