"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900180",280,"5",1419401,"1",
"980000",110239,"1",1419401,"1",
"980000",110239,"2",1419401,"1",
"980000",110239,"3",1419401,"1",
"980000",110239,"4",1419401,"1",
"980000",110239,"5",1419401,"1",
"980070",107639,"1",1419401,"1",
"980070",107639,"2",1419401,"1",
"980070",107639,"3",1419401,"1",
"980070",107639,"4",1419401,"1",
"980070",107639,"5",1419401,"1",
"900000",101500,"1",1419402,"1",
"900000",101500,"2",1419402,"1",
"900000",101500,"3",1419402,"1",
"900000",101500,"4",1419402,"1",
"900000",101500,"5",1419402,"1",
"900030",8459,"1",1419402,"1",
"900030",8459,"2",1419402,"1",
"900030",8459,"3",1419402,"1",
"900030",8459,"4",1419402,"1",
"900030",8459,"5",1419402,"1",
"900180",280,"1",1419402,"1",
"900180",280,"2",1419402,"1",
"900180",280,"3",1419402,"1",
"900180",280,"4",1419402,"1",
"900180",280,"5",1419402,"1",
"980000",110239,"1",1419402,"1",
"980000",110239,"2",1419402,"1",
"980000",110239,"3",1419402,"1",
"980000",110239,"4",1419402,"1",
"980000",110239,"5",1419402,"1",
"980070",107639,"1",1419402,"1",
"980070",107639,"2",1419402,"1",
"980070",107639,"3",1419402,"1",
"980070",107639,"4",1419402,"1",
"980070",107639,"5",1419402,"1",
"900000",20000,"1",1419421,"1",
"900000",20000,"2",1419421,"1",
"900000",20000,"3",1419421,"1",
"900000",20000,"4",1419421,"1",
"900000",20000,"5",1419421,"1",
"950002",1600,"1",1419421,"1",
"950002",1600,"2",1419421,"1",
"950002",1600,"3",1419421,"1",
"950002",1600,"4",1419421,"1",
"950002",1600,"5",1419421,"1",
"950012",836,"1",1419421,"1",
"950012",836,"2",1419421,"1",
"950012",836,"3",1419421,"1",
"950012",836,"4",1419421,"1",
"950012",836,"5",1419421,"1",
"980000",20000,"1",1419421,"1",
"980000",20000,"2",1419421,"1",
"980000",20000,"3",1419421,"1",
"980000",20000,"4",1419421,"1",
"980000",20000,"5",1419421,"1",
"980070",17564,"1",1419421,"1",
"980070",17564,"2",1419421,"1",
"980070",17564,"3",1419421,"1",
"980070",17564,"4",1419421,"1",
"980070",17564,"5",1419421,"1",
"900000",20000,"1",1419422,"1",
"900000",20000,"2",1419422,"1",
