OCCULIST,HRSPERWK,WKS_WRKD,EMPLTYPE,MARITAL,HISPANIC,WHYNOWRK,MEMBRACE,SEX,HRSP_RWK,WKS__RKD,EMPL_YPE,HISP_NIC,WHYN_WRK,OCCU_IST,NEWID,AGE,AGE_,ANGVX,ANGVX_,ANPVTX,ANPVTX_,ANRRX,ANRRX_,CU_CODE1,EDUCA,EDUCA_,GROSPAYX,GROS_AYX,GVX,GVX_,IRAX,IRAX_,JSSDEDX,JSSDEDX_,MEMBNO,PVTX,PVTX_,RRX,RRX_,SCHLNCHQ,SCHL_CHQ,SCHLNCHX,SCHL_CHX,SLFEMPSS,SLFE_PSS,SS_RRX,SS_RRX_,SUPPX,SUPPX_,US_SUPP,US_SUPP_,WAGEX,WAGEX_,SS_RRQ,SS_RRQ_,SOCRRX,SOCRRX_,ARM_FORC,ARM__ORC,IN_COLL,IN_COLL_,MEDICARE,MEDI_ARE,PAYPERD,PAYPERD_,HORIGIN,RC_WHITE,RC_W_ITE,RC_BLACK,RC_B_ACK,RC_NATAM,RC_N_TAM,RC_ASIAN,RC_A_IAN,RC_PACIL,RC_P_CIL,RC_OTHER,RC_O_HER,RC_DK,RC_DK_,ANGVXM,ANGVXM_,ANPVTXM,ANPVTXM_,ANRRXM,ANRRXM_,JSSDEDXM,JSSD_DXM,JSSDEDX1,JSSDEDX2,JSSDEDX3,JSSDEDX4,JSSDEDX5,SLFEMPSM,SLFE_PSM,SLFEMPS1,SLFEMPS2,SLFEMPS3,SLFEMPS4,SLFEMPS5,SOCRRXM,SOCRRXM_,SOCRRX1,SOCRRX2,SOCRRX3,SOCRRX4,SOCRRX5,SS_RRXM,SS_RRXM_,SS_RRX1,SS_RRX2,SS_RRX3,SS_RRX4,SS_RRX5,SS_RRXI,SUPPXM,SUPPXM_,SUPPX1,SUPPX2,SUPPX3,SUPPX4,SUPPX5,SUPPXI,WAGEXM,WAGEXM_,WAGEX1,WAGEX2,WAGEX3,WAGEX4,WAGEX5,WAGEXI,SS_RRB,SS_RRB_,SS_RRBX,SS_RRBX_,SUPPB,SUPPB_,SUPPBX,SUPPBX_,WAGEB,WAGEB_,WAGEBX,WAGEBX_,ASIAN,ASIAN_,OCCUEARN,PAYSTUB,PAYSTUB_,SEMPFRM,SEMPFRM_,SEMPFRMX,SEMP_RMX,SMPFRMB,SMPFRMB_,SMPFRMBX,SMPF_MBX,SEMPFRM1,SEMPFRM2,SEMPFRM3,SEMPFRM4,SEMPFRM5,SEMPFRMI,SEMPFRMM,SEMP_RMM,SOCSRRET,SOCS_RET,WKSTATUS
03,40,52,1,5,,,1,1,D,D,D,A,A,D,03608891,27,D,,A,,A,,A,1,6,D,3373,D,,A,2025,D,6816,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,89095,D,,A,0,D,2,D,3,D,,A,7,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,89095.0,D,89095,89095,89095,89095,89095,100,,A,,A,,A,,A,,A,,A,,A,103,1,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1
03,40,52,1,5,,,1,1,D,D,D,A,A,D,03608892,27,D,,A,,A,,A,1,6,D,3373,D,,A,2025,D,6816,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,89095,D,,A,0,D,2,D,3,D,,A,7,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,89095.0,D,89095,89095,89095,89095,89095,100,,A,,A,,A,,A,,A,,A,,A,103,1,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1
01,40,48,1,3,,,1,2,D,D,D,A,A,D,03608901,53,D,,A,,A,,A,1,4,D,494,D,,A,,A,1989,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,26000,D,,A,0,D,2,D,3,D,,A,1,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,26000.0,D,26000,26000,26000,26000,26000,100,,A,,A,,A,,A,,A,,A,,A,101,1,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1
01,40,48,1,3,,,1,2,D,D,D,A,A,D,03608902,53,D,,A,,A,,A,1,4,D,494,D,,A,,A,1989,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,26000,D,,A,0,D,2,D,3,D,,A,1,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,26000.0,D,26000,26000,26000,26000,26000,100,,A,,A,,A,,A,,A,,A,,A,101,1,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1
01,55,10,1,3,,,1,1,D,D,D,A,A,D,03608921,56,D,,A,,A,,A,1,7,D,2784,D,,A,,A,2678,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,35000,D,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,35000.0,D,35000,35000,35000,35000,35000,100,,A,,A,,A,,A,,A,,A,,A,101,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1
01,55,10,1,3,,,1,1,D,D,D,A,A,D,03608922,56,D,,A,,A,,A,1,7,D,2784,D,,A,,A,2678,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,35000,D,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,35000.0,D,35000,35000,35000,35000,35000,100,,A,,A,,A,,A,,A,,A,,A,101,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1
05,8,52,5,1,,,1,2,D,D,D,A,A,D,03608931,34,D,,A,,A,,A,1,7,D,1500,D,,A,,A,3749,D,1,,A,,A,,A,,A,459,D,,A,,A,2,D,43000,D,,A,0,D,2,D,3,D,,A,6,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,3749.0,D,3749,3749,3749,3749,3749,459.0,D,459,459,459,459,459,,A,,,,,,,A,,,,,,100,,A,,,,,,100,43000.0,D,43000,43000,43000,43000,43000,100,,A,,A,,A,,A,,A,,A,,A,205,2,D,1,D,3000,D,,A,,A,3000,3000,3000,3000,3000,100,3000,D,2,D,2
01,40,42,1,1,,,1,1,D,D,D,A,A,D,03608931,38,D,,A,,A,,A,2,7,D,1906,D,,A,,C,3366,D,2,,A,,A,,A,,A,306,D,,A,,A,2,D,40000,D,,A,0,D,2,D,2,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,3366.0,D,3366,3366,3366,3366,3366,306.0,D,306,306,306,306,306,,A,,,,,,,A,,,,,,100,,A,,,,,,100,40000.0,D,40000,40000,40000,40000,40000,100,,A,,A,,A,,A,,A,,A,,A,101,2,D,1,D,2000,D,,A,,A,2000,2000,2000,2000,2000,100,2000,D,2,D,1
,,,,5,,,1,1,A,A,A,A,A,A,03608931,6,D,,A,,A,,A,3,,A,,A,,A,,A,,A,3,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,A,,,,,,,A,,,,,,,A,,,,,,,,A,,,,,,,,A,,,,,,,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,,,,,,,A,,A,
05,8,52,5,1,,,1,2,D,D,D,A,A,D,03608932,34,D,,A,,A,,A,1,7,D,1500,D,,A,,A,3749,D,1,,A,,A,,A,,A,459,D,,A,,A,2,D,43000,D,,A,0,D,2,D,3,D,,A,6,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,3749.0,D,3749,3749,3749,3749,3749,459.0,D,459,459,459,459,459,,A,,,,,,,A,,,,,,100,,A,,,,,,100,43000.0,D,43000,43000,43000,43000,43000,100,,A,,A,,A,,A,,A,,A,,A,205,2,D,1,D,3000,D,,A,,A,3000,3000,3000,3000,3000,100,3000,D,2,D,2
