"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1264181,"800940","1",2295,,"1"
1264181,"800940","1",2295,,"2"
1264181,"800940","1",2295,,"3"
1264181,"800940","1",2295,,"4"
1264181,"800940","1",2295,,"5"
1264181,"900000","1",30000,,"1"
1264181,"900000","1",30000,,"2"
1264181,"900000","1",30000,,"3"
1264181,"900000","1",30000,,"4"
1264181,"900000","1",30000,,"5"
1264181,"900080","1",79,,"1"
1264181,"900080","1",58,,"2"
1264181,"900080","1",124,,"3"
1264181,"900080","1",55,,"4"
1264181,"900080","1",56,,"5"
1264181,"980000","1",30079,,"1"
1264181,"980000","1",30058,,"2"
1264181,"980000","1",30124,,"3"
1264181,"980000","1",30055,,"4"
1264181,"980000","1",30056,,"5"
1264181,"980070","1",30079,,"1"
1264181,"980070","1",30058,,"2"
1264181,"980070","1",30124,,"3"
1264181,"980070","1",30055,,"4"
1264181,"980070","1",30056,,"5"
1264182,"800940","1",2295,,"1"
1264182,"800940","1",2295,,"2"
1264182,"800940","1",2295,,"3"
1264182,"800940","1",2295,,"4"
1264182,"800940","1",2295,,"5"
1264182,"900000","1",30000,,"1"
1264182,"900000","1",30000,,"2"
1264182,"900000","1",30000,,"3"
1264182,"900000","1",30000,,"4"
1264182,"900000","1",30000,,"5"
1264182,"900080","1",60,,"1"
1264182,"900080","1",75,,"2"
1264182,"900080","1",48,,"3"
1264182,"900080","1",135,,"4"
1264182,"900080","1",72,,"5"
1264182,"980000","1",30060,,"1"
1264182,"980000","1",30075,,"2"
1264182,"980000","1",30048,,"3"
1264182,"980000","1",30135,,"4"
1264182,"980000","1",30072,,"5"
1264182,"980070","1",30060,,"1"
1264182,"980070","1",30075,,"2"
1264182,"980070","1",30048,,"3"
1264182,"980070","1",30135,,"4"
1264182,"980070","1",30072,,"5"
1271142,"900040","1",9084,,"1"
1271142,"900040","1",9084,,"2"
1271142,"900040","1",9084,,"3"
1271142,"900040","1",9084,,"4"
1271142,"900040","1",9084,,"5"
1271142,"900150","1",2400,,"1"
1271142,"900150","1",2400,,"2"
1271142,"900150","1",2400,,"3"
1271142,"900150","1",2400,,"4"
1271142,"900150","1",2400,,"5"
1271142,"980000","1",11484,,"1"
1271142,"980000","1",11484,,"2"
1271142,"980000","1",11484,,"3"
1271142,"980000","1",11484,,"4"
1271142,"980000","1",11484,,"5"
1271142,"980070","1",11484,,"1"
1271142,"980070","1",11484,,"2"
1271142,"980070","1",11484,,"3"
1271142,"980070","1",11484,,"4"
1271142,"980070","1",11484,,"5"
1263871,"800940","1",2909,,"1"
1263871,"800940","1",1599,,"2"
1263871,"800940","1",890,,"3"
1263871,"800940","1",4159,,"4"
1263871,"800940","1",3288,,"5"
1263871,"900000","1",38031,,"1"
1263871,"900000","1",20904,,"2"
1263871,"900000","1",11630,,"3"
1263871,"900000","1",54366,,"4"
1263871,"900000","1",42980,,"5"
1263871,"980000","1",38031,,"1"
1263871,"980000","1",20904,,"2"
1263871,"980000","1",11630,,"3"
1263871,"980000","1",54366,,"4"
1263871,"980000","1",42980,,"5"
1263871,"980070","1",38031,,"1"
1263871,"980070","1",20904,,"2"
1263871,"980070","1",11630,,"3"
1263871,"980070","1",54366,,"4"
1263871,"980070","1",42980,,"5"
1263872,"800940","1",1011,,"1"
1263872,"800940","1",3096,,"2"
1263872,"800940","1",2799,,"3"
1263872,"800940","1",2811,,"4"
1263872,"800940","1",5554,,"5"
1263872,"900000","1",13213,,"1"
1263872,"900000","1",40473,,"2"
1263872,"900000","1",36582,,"3"
1263872,"900000","1",36748,,"4"
1263872,"900000","1",72600,,"5"
1263872,"980000","1",13213,,"1"
1263872,"980000","1",40473,,"2"
1263872,"980000","1",36582,,"3"
1263872,"980000","1",36748,,"4"
1263872,"980000","1",72600,,"5"
1263872,"980070","1",13213,,"1"
1263872,"980070","1",40473,,"2"
1263872,"980070","1",36582,,"3"
1263872,"980070","1",36748,,"4"
1263872,"980070","1",72600,,"5"
1269862,"800940","1",798,,"1"
1269862,"800940","1",2002,,"2"
1269862,"800940","1",3156,,"3"
1269862,"800940","1",1599,,"4"
1269862,"800940","1",3593,,"5"
1269862,"900000","1",10426,,"1"
1269862,"900000","1",26176,,"2"
1269862,"900000","1",41249,,"3"
1269862,"900000","1",20904,,"4"
1269862,"900000","1",46968,,"5"
1269862,"980000","1",10426,,"1"
1269862,"980000","1",26176,,"2"
1269862,"980000","1",41249,,"3"
1269862,"980000","1",20904,,"4"
1269862,"980000","1",46968,,"5"
1269862,"980070","1",10426,,"1"
1269862,"980070","1",26176,,"2"
1269862,"980070","1",41249,,"3"
1269862,"980070","1",20904,,"4"
1269862,"980070","1",46968,,"5"
1261451,"800940","1",3162,,"1"
1261451,"800940","1",2372,,"2"
1261451,"800940","1",3249,,"3"
1261451,"800940","1",5602,,"4"
1261451,"800940","1",4163,,"5"
1261451,"900000","1",41333,,"1"
1261451,"900000","1",31002,,"2"
1261451,"900000","1",42472,,"3"
1261451,"900000","1",73227,,"4"
1261451,"900000","1",54416,,"5"
1261451,"980000","1",41333,,"1"
1261451,"980000","1",31002,,"2"
1261451,"980000","1",42472,,"3"
1261451,"980000","1",73227,,"4"
1261451,"980000","1",54416,,"5"
1261451,"980070","1",41333,,"1"
1261451,"980070","1",31002,,"2"
1261451,"980070","1",42472,,"3"
1261451,"980070","1",73227,,"4"
1261451,"980070","1",54416,,"5"
1261452,"800940","1",9804,"T","1"
1261452,"800940","1",9804,"T","2"
1261452,"800940","1",9804,"T","3"
1261452,"800940","1",9804,"T","4"
1261452,"800940","1",9804,"T","5"
1261452,"900000","1",197966,"T","1"
1261452,"900000","1",197966,"T","2"
1261452,"900000","1",197966,"T","3"
1261452,"900000","1",197966,"T","4"
1261452,"900000","1",197966,"T","5"
1261452,"980000","1",197966,"T","1"
1261452,"980000","1",197966,"T","2"
1261452,"980000","1",197966,"T","3"
1261452,"980000","1",197966,"T","4"
1261452,"980000","1",197966,"T","5"
1261452,"980070","1",197966,"T","1"
1261452,"980070","1",197966,"T","2"
1261452,"980070","1",197966,"T","3"
1261452,"980070","1",197966,"T","4"
1261452,"980070","1",197966,"T","5"
1261811,"800940","1",12206,,"1"
1261811,"800940","1",15044,,"2"
1261811,"800940","1",14951,,"3"
1261811,"800940","1",11572,,"4"
1261811,"800940","1",10582,,"5"
1261811,"900000","1",159562,,"1"
1261811,"900000","1",196646,,"2"
1261811,"900000","1",195439,,"3"
1261811,"900000","1",151261,,"4"
1261811,"900000","1",138324,,"5"
1261811,"980000","1",159562,,"1"
1261811,"980000","1",196646,,"2"
1261811,"980000","1",195439,,"3"
1261811,"980000","1",151261,,"4"
1261811,"980000","1",138324,,"5"
1261811,"980070","1",159562,,"1"
1261811,"980070","1",196646,,"2"
1261811,"980070","1",195439,,"3"
1261811,"980070","1",151261,,"4"
1261811,"980070","1",138324,,"5"
1261812,"800940","1",4209,,"1"
1261812,"800940","1",6542,,"2"
1261812,"800940","1",8069,,"3"
1261812,"800940","1",4590,,"4"
1261812,"800940","1",12580,,"5"
1261812,"900000","1",55028,,"1"
1261812,"900000","1",85516,,"2"
1261812,"900000","1",105480,,"3"
1261812,"900000","1",60008,,"4"
1261812,"900000","1",164433,,"5"
1261812,"980000","1",55028,,"1"
1261812,"980000","1",85516,,"2"
1261812,"980000","1",105480,,"3"
1261812,"980000","1",60008,,"4"
1261812,"980000","1",164433,,"5"
1261812,"980070","1",55028,,"1"
1261812,"980070","1",85516,,"2"
1261812,"980070","1",105480,,"3"
1261812,"980070","1",60008,,"4"
1261812,"980070","1",164433,,"5"
1267621,"800940","1",12182,,"1"
1267621,"800940","1",12182,,"2"
1267621,"800940","1",12182,,"3"
1267621,"800940","1",12182,,"4"
1267621,"800940","1",12182,,"5"
1267621,"900000","1",191000,,"1"
1267621,"900000","1",191000,,"2"
1267621,"900000","1",191000,,"3"
1267621,"900000","1",191000,,"4"
1267621,"900000","1",191000,,"5"
1267621,"900050","1",280,,"1"
1267621,"900050","1",280,,"2"
1267621,"900050","1",280,,"3"
1267621,"900050","1",280,,"4"
1267621,"900050","1",280,,"5"
1267621,"900080","1",180,,"1"
1267621,"900080","1",180,,"2"
1267621,"900080","1",180,,"3"
1267621,"900080","1",180,,"4"
1267621,"900080","1",180,,"5"
1267621,"950002","1",18676,,"1"
1267621,"950002","1",18676,,"2"
1267621,"950002","1",18676,,"3"
1267621,"950002","1",18676,,"4"
1267621,"950002","1",18676,,"5"
1267621,"950012","1",8930,,"1"
1267621,"950012","1",8930,,"2"
1267621,"950012","1",8930,,"3"
1267621,"950012","1",8930,,"4"
1267621,"950012","1",8930,,"5"
1267621,"980000","1",191460,,"1"
1267621,"980000","1",191460,,"2"
1267621,"980000","1",191460,,"3"
1267621,"980000","1",191460,,"4"
1267621,"980000","1",191460,,"5"
1267621,"980070","1",166369,,"1"
1267621,"980070","1",166369,,"2"
1267621,"980070","1",166369,,"3"
1267621,"980070","1",166369,,"4"
1267621,"980070","1",166369,,"5"
1267622,"800940","1",12182,,"1"
1267622,"800940","1",12182,,"2"
1267622,"800940","1",12182,,"3"
1267622,"800940","1",12182,,"4"
1267622,"800940","1",12182,,"5"
1267622,"900000","1",191000,,"1"
1267622,"900000","1",191000,,"2"
1267622,"900000","1",191000,,"3"
1267622,"900000","1",191000,,"4"
1267622,"900000","1",191000,,"5"
1267622,"900050","1",280,,"1"
1267622,"900050","1",280,,"2"
1267622,"900050","1",280,,"3"
1267622,"900050","1",280,,"4"
1267622,"900050","1",280,,"5"
1267622,"900080","1",180,,"1"
1267622,"900080","1",180,,"2"
1267622,"900080","1",180,,"3"
1267622,"900080","1",180,,"4"
1267622,"900080","1",180,,"5"
1267622,"950002","1",18676,,"1"
1267622,"950002","1",18676,,"2"
1267622,"950002","1",18676,,"3"
1267622,"950002","1",18676,,"4"
1267622,"950002","1",18676,,"5"
1267622,"950012","1",8930,,"1"
1267622,"950012","1",8930,,"2"
1267622,"950012","1",8930,,"3"
1267622,"950012","1",8930,,"4"
1267622,"950012","1",8930,,"5"
1267622,"980000","1",191460,,"1"
1267622,"980000","1",191460,,"2"
1267622,"980000","1",191460,,"3"
1267622,"980000","1",191460,,"4"
1267622,"980000","1",191460,,"5"
1267622,"980070","1",166369,,"1"
1267622,"980070","1",166369,,"2"
1267622,"980070","1",166369,,"3"
1267622,"980070","1",166369,,"4"
1267622,"980070","1",166369,,"5"
1268791,"800940","1",2525,,"1"
1268791,"800940","1",2525,,"2"
1268791,"800940","1",2525,,"3"
1268791,"800940","1",2525,,"4"
1268791,"800940","1",2525,,"5"
1268791,"900000","1",33000,,"1"
1268791,"900000","1",33000,,"2"
1268791,"900000","1",33000,,"3"
1268791,"900000","1",33000,,"4"
1268791,"900000","1",33000,,"5"
1268791,"900030","1",18725,,"1"
1268791,"900030","1",18725,,"2"
1268791,"900030","1",18725,,"3"
1268791,"900030","1",18725,,"4"
1268791,"900030","1",18725,,"5"
1268791,"900080","1",20,,"1"
1268791,"900080","1",20,,"2"
1268791,"900080","1",20,,"3"
1268791,"900080","1",20,,"4"
1268791,"900080","1",20,,"5"
1268791,"980000","1",51745,,"1"
1268791,"980000","1",51745,,"2"
1268791,"980000","1",51745,,"3"
1268791,"980000","1",51745,,"4"
1268791,"980000","1",51745,,"5"
1268791,"980070","1",51945,,"1"
1268791,"980070","1",51945,,"2"
1268791,"980070","1",51945,,"3"
1268791,"980070","1",51945,,"4"
1268791,"980070","1",51945,,"5"
1268792,"800940","1",2525,,"1"
1268792,"800940","1",2525,,"2"
1268792,"800940","1",2525,,"3"
1268792,"800940","1",2525,,"4"
1268792,"800940","1",2525,,"5"
1268792,"900000","1",33000,,"1"
1268792,"900000","1",33000,,"2"
1268792,"900000","1",33000,,"3"
1268792,"900000","1",33000,,"4"
1268792,"900000","1",33000,,"5"
1268792,"900030","1",18725,,"1"
1268792,"900030","1",18725,,"2"
1268792,"900030","1",18725,,"3"
1268792,"900030","1",18725,,"4"
1268792,"900030","1",18725,,"5"
1268792,"900080","1",20,,"1"
1268792,"900080","1",20,,"2"
1268792,"900080","1",20,,"3"
1268792,"900080","1",20,,"4"
1268792,"900080","1",20,,"5"
1268792,"980000","1",51745,,"1"
1268792,"980000","1",51745,,"2"
1268792,"980000","1",51745,,"3"
1268792,"980000","1",51745,,"4"
1268792,"980000","1",51745,,"5"
1268792,"980070","1",51945,,"1"
1268792,"980070","1",51945,,"2"
1268792,"980070","1",51945,,"3"
1268792,"980070","1",51945,,"4"
1268792,"980070","1",51945,,"5"
1270351,"800940","1",6885,,"1"
1270351,"800940","1",6885,,"2"
1270351,"800940","1",6885,,"3"
1270351,"800940","1",6885,,"4"
1270351,"800940","1",6885,,"5"
1270351,"900000","1",90000,,"1"
1270351,"900000","1",90000,,"2"
1270351,"900000","1",90000,,"3"
1270351,"900000","1",90000,,"4"
1270351,"900000","1",90000,,"5"
1270351,"900050","1",11,,"1"
1270351,"900050","1",207,,"2"
1270351,"900050","1",799,,"3"
1270351,"900050","1",1342,,"4"
1270351,"900050","1",10354,,"5"
1270351,"900080","1",725,,"1"
