NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
04362691,900000,41003,1,1,
04362691,900000,48052,2,1,
04362691,900000,40792,3,1,
04362691,900000,44662,4,1,
04362691,900000,41909,5,1,
04362691,980000,41003,1,1,
04362691,980000,48052,2,1,
04362691,980000,40792,3,1,
04362691,980000,44662,4,1,
04362691,980000,41909,5,1,
04362692,900000,47990,1,1,
04362692,900000,46890,2,1,
04362692,900000,49744,3,1,
04362692,900000,40709,4,1,
04362692,900000,43299,5,1,
04362692,980000,47990,1,1,
04362692,980000,46890,2,1,
04362692,980000,49744,3,1,
04362692,980000,40709,4,1,
04362692,980000,43299,5,1,
04362721,900030,17335,1,1,
04362721,900030,17335,2,1,
04362721,900030,17335,3,1,
04362721,900030,17335,4,1,
04362721,900030,17335,5,1,
04362721,900170,2500,1,1,
04362721,900170,2500,2,1,
04362721,900170,2500,3,1,
04362721,900170,2500,4,1,
04362721,900170,2500,5,1,
04362721,980000,19835,1,1,
04362721,980000,19835,2,1,
04362721,980000,19835,3,1,
04362721,980000,19835,4,1,
04362721,980000,19835,5,1,
04362722,900030,17335,1,1,
04362722,900030,17335,2,1,
04362722,900030,17335,3,1,
04362722,900030,17335,4,1,
04362722,900030,17335,5,1,
04362722,900170,2500,1,1,
04362722,900170,2500,2,1,
04362722,900170,2500,3,1,
04362722,900170,2500,4,1,
04362722,900170,2500,5,1,
04362722,980000,19835,1,1,
04362722,980000,19835,2,1,
04362722,980000,19835,3,1,
04362722,980000,19835,4,1,
04362722,980000,19835,5,1,
04362741,900000,30000,1,1,
04362741,900000,30000,2,1,
04362741,900000,30000,3,1,
04362741,900000,30000,4,1,
04362741,900000,30000,5,1,
04362741,900170,3250,1,1,
04362741,900170,3250,2,1,
04362741,900170,3250,3,1,
04362741,900170,3250,4,1,
04362741,900170,3250,5,1,
04362741,980000,33250,1,1,
04362741,980000,33250,2,1,
04362741,980000,33250,3,1,
04362741,980000,33250,4,1,
04362741,980000,33250,5,1,
04362742,900000,30000,1,1,
04362742,900000,30000,2,1,
04362742,900000,30000,3,1,
04362742,900000,30000,4,1,
04362742,900000,30000,5,1,
04362742,900170,3250,1,1,
04362742,900170,3250,2,1,
04362742,900170,3250,3,1,
04362742,900170,3250,4,1,
04362742,900170,3250,5,1,
04362742,980000,33250,1,1,
04362742,980000,33250,2,1,
04362742,980000,33250,3,1,
04362742,980000,33250,4,1,
04362742,980000,33250,5,1,
04362841,900000,203000,1,1,
04362841,900000,203000,2,1,
04362841,900000,203000,3,1,
04362841,900000,203000,4,1,
04362841,900000,203000,5,1,
04362841,980000,203000,1,1,
04362841,980000,203000,2,1,
04362841,980000,203000,3,1,
04362841,980000,203000,4,1,
04362841,980000,203000,5,1,
04362842,900000,203000,1,1,
04362842,900000,203000,2,1,
04362842,900000,203000,3,1,
04362842,900000,203000,4,1,
04362842,900000,203000,5,1,
04362842,980000,203000,1,1,
04362842,980000,203000,2,1,
04362842,980000,203000,3,1,
04362842,980000,203000,4,1,
04362842,980000,203000,5,1,
04362851,800940,2391,1,1,
04362851,800940,1929,2,1,
04362851,800940,2122,3,1,
04362851,800940,1626,4,1,
04362851,800940,1565,5,1,
04362851,900000,40000,1,1,
04362851,900000,40000,2,1,
04362851,900000,40000,3,1,
