NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05045821,900000,168473,1,1,
05045821,900000,56804,2,1,
05045821,900000,23793,3,1,
05045821,900000,83633,4,1,
05045821,900000,43419,5,1,
05045821,900180,1,1,1,
05045821,900180,3,2,1,
05045821,900180,1,3,1,
05045821,900180,79,4,1,
05045821,900180,3072,5,1,
05045821,900200,15000,1,1,
05045821,900200,15000,2,1,
05045821,900200,15000,3,1,
05045821,900200,15000,4,1,
05045821,900200,15000,5,1,
05045821,980000,183474,1,1,
05045821,980000,71807,2,1,
05045821,980000,38794,3,1,
05045821,980000,98712,4,1,
05045821,980000,61491,5,1,
05045822,900000,82101,1,1,
05045822,900000,170507,2,1,
05045822,900000,196640,3,1,
05045822,900000,7018,4,1,
05045822,900000,76604,5,1,
05045822,900180,125,1,1,
05045822,900180,10,2,1,
05045822,900180,1,3,1,
05045822,900180,6,4,1,
05045822,900180,11,5,1,
05045822,900200,15000,1,1,
05045822,900200,15000,2,1,
05045822,900200,15000,3,1,
05045822,900200,15000,4,1,
05045822,900200,15000,5,1,
05045822,980000,97226,1,1,
05045822,980000,185517,2,1,
05045822,980000,211641,3,1,
05045822,980000,22024,4,1,
05045822,980000,91615,5,1,
05045831,900000,35000,1,1,
05045831,900000,35000,2,1,
05045831,900000,35000,3,1,
05045831,900000,35000,4,1,
05045831,900000,35000,5,1,
05045831,900030,31430,1,1,
05045831,900030,31430,2,1,
05045831,900030,31430,3,1,
05045831,900030,31430,4,1,
05045831,900030,31430,5,1,
05045831,900190,11000,1,1,
05045831,900190,11000,2,1,
05045831,900190,11000,3,1,
05045831,900190,11000,4,1,
05045831,900190,11000,5,1,
05045831,980000,77430,1,1,
05045831,980000,77430,2,1,
05045831,980000,77430,3,1,
05045831,980000,77430,4,1,
05045831,980000,77430,5,1,
05045832,900000,35000,1,1,
05045832,900000,35000,2,1,
05045832,900000,35000,3,1,
05045832,900000,35000,4,1,
05045832,900000,35000,5,1,
05045832,900030,31430,1,1,
05045832,900030,31430,2,1,
05045832,900030,31430,3,1,
05045832,900030,31430,4,1,
05045832,900030,31430,5,1,
05045832,900190,11000,1,1,
05045832,900190,11000,2,1,
05045832,900190,11000,3,1,
05045832,900190,11000,4,1,
05045832,900190,11000,5,1,
05045832,980000,77430,1,1,
05045832,980000,77430,2,1,
05045832,980000,77430,3,1,
05045832,980000,77430,4,1,
05045832,980000,77430,5,1,
05045901,900000,20000,1,1,
05045901,900000,20000,2,1,
05045901,900000,20000,3,1,
05045901,900000,20000,4,1,
05045901,900000,20000,5,1,
05045901,900030,12241,1,1,
05045901,900030,12241,2,1,
05045901,900030,12241,3,1,
05045901,900030,12241,4,1,
05045901,900030,12241,5,1,
05045901,980000,32241,1,1,
05045901,980000,32241,2,1,
05045901,980000,32241,3,1,
05045901,980000,32241,4,1,
05045901,980000,32241,5,1,
05045902,900000,20000,1,1,
05045902,900000,20000,2,1,
05045902,900000,20000,3,1,
05045902,900000,20000,4,1,
05045902,900000,20000,5,1,
05045902,900030,12241,1,1,
05045902,900030,12241,2,1,
05045902,900030,12241,3,1,
05045902,900030,12241,4,1,
05045902,900030,12241,5,1,
05045902,980000,32241,1,1,
05045902,980000,32241,2,1,
05045902,980000,32241,3,1,
05045902,980000,32241,4,1,
05045902,980000,32241,5,1,
05045911,900000,79500,1,1,
05045911,900000,79500,2,1,
05045911,900000,79500,3,1,
05045911,900000,79500,4,1,
05045911,900000,79500,5,1,
05045911,980000,79500,1,1,
05045911,980000,79500,2,1,
05045911,980000,79500,3,1,
05045911,980000,79500,4,1,
05045911,980000,79500,5,1,
05045912,900000,79500,1,1,
05045912,900000,79500,2,1,
05045912,900000,79500,3,1,
05045912,900000,79500,4,1,
05045912,900000,79500,5,1,
05045912,980000,79500,1,1,
05045912,980000,79500,2,1,
05045912,980000,79500,3,1,
05045912,980000,79500,4,1,
05045912,980000,79500,5,1,
05045921,900000,40975,1,1,
05045921,900000,71984,2,1,
05045921,900000,5645,3,1,
05045921,900000,49122,4,1,
05045921,900000,50794,5,1,
05045921,980000,40975,1,1,
05045921,980000,71984,2,1,
05045921,980000,5645,3,1,
05045921,980000,49122,4,1,
05045921,980000,50794,5,1,
05045922,900000,74824,1,1,
05045922,900000,12229,2,1,
05045922,900000,43970,3,1,
05045922,900000,5456,4,1,
05045922,900000,42218,5,1,
05045922,980000,74824,1,1,
05045922,980000,12229,2,1,
05045922,980000,43970,3,1,
05045922,980000,5456,4,1,
05045922,980000,42218,5,1,
05045981,900000,123225,1,1,
05045981,900000,115903,2,1,
05045981,900000,117597,3,1,
05045981,900000,118716,4,1,
05045981,900000,120740,5,1,
05045981,980000,123225,1,1,
05045981,980000,115903,2,1,
05045981,980000,117597,3,1,
05045981,980000,118716,4,1,
05045981,980000,120740,5,1,
05045982,900000,121290,1,1,
05045982,900000,119442,2,1,
05045982,900000,124912,3,1,
05045982,900000,123020,4,1,
05045982,900000,123997,5,1,
05045982,980000,121290,1,1,
05045982,980000,119442,2,1,
05045982,980000,124912,3,1,
05045982,980000,123020,4,1,
05045982,980000,123997,5,1,
05045991,900030,42768,1,1,
05045991,900030,30288,2,1,
05045991,900030,17724,3,1,
05045991,900030,15288,4,1,
