NEWID,ALLOC,COST,GIFT,PUB_FLAG,UCC,EXPNSQDY,EXPN_QDY,EXPNWKDY,EXPN_KDY,EXPNMO,EXPNMO_,EXPNYR,EXPNYR_
04529401,0,6.28000,2,2,110110,5,D,1,D,07,D,2020,D
04529401,0,2.09000,2,2,110210,5,D,1,D,07,D,2020,D
04529401,0,5.24000,2,2,120410,5,D,1,D,07,D,2020,D
04529401,0,5.24000,2,2,130212,5,D,1,D,07,D,2020,D
04529401,0,4.19000,2,2,150310,5,D,1,D,07,D,2020,D
04529401,1,2.55852,2,2,170310,5,D,1,D,07,D,2020,D
04529401,1,2.68148,2,2,170410,5,D,1,D,07,D,2020,D
04529401,0,1119.62000,2,1,210110,7,D,3,D,07,D,2020,D
04529401,0,80.00000,2,1,260110,7,D,3,D,07,D,2020,D
04529401,0,30.00000,2,1,470111,1,D,4,D,07,D,2020,D
04529401,1,10.15294,2,1,650110,4,D,7,D,07,D,2020,D
04529401,1,9.84706,2,1,650210,4,D,7,D,07,D,2020,D
04529402,0,5.24000,2,2,120210,1,D,4,D,07,D,2020,D
04529402,0,6.28000,2,2,120310,1,D,4,D,07,D,2020,D
04529402,0,12.57000,2,2,170532,1,D,4,D,07,D,2020,D
04529402,0,12.00000,2,2,190211,3,D,6,D,07,D,2020,D
04529402,0,18.00000,2,2,190211,7,D,3,D,07,D,2020,D
04529402,0,88.00000,2,1,270000,6,D,2,D,07,D,2020,D
04529402,0,26.18000,2,2,330310,1,D,4,D,07,D,2020,D
04529402,0,62.83000,2,2,400110,4,D,7,D,07,D,2020,D
04529402,0,31.41000,2,2,430130,5,D,1,D,07,D,2020,D
04529402,0,25.00000,2,1,470111,3,D,6,D,07,D,2020,D
04529402,0,55.00000,2,1,690114,6,D,2,D,07,D,2020,D
04529451,0,4.79000,2,2,020210,7,D,7,D,07,D,2020,D
04529451,1,3.62942,2,2,020210,7,D,7,D,07,D,2020,D
04529451,1,4.24882,2,2,020310,7,D,7,D,07,D,2020,D
04529451,1,4.64089,2,2,020510,7,D,7,D,07,D,2020,D
04529451,1,5.95657,2,2,040110,7,D,7,D,07,D,2020,D
04529451,1,7.61559,2,2,050410,7,D,7,D,07,D,2020,D
04529451,1,4.09848,2,2,080110,7,D,7,D,07,D,2020,D
04529451,1,3.06604,2,2,090110,7,D,7,D,07,D,2020,D
04529451,1,5.17150,2,2,090210,7,D,7,D,07,D,2020,D
04529451,0,3.89000,2,2,100210,7,D,7,D,07,D,2020,D
04529451,0,3.39000,2,2,100210,7,D,7,D,07,D,2020,D
04529451,0,3.39000,2,2,100210,7,D,7,D,07,D,2020,D
04529451,1,2.83936,2,2,100210,7,D,7,D,07,D,2020,D
04529451,1,4.37570,2,2,100510,7,D,7,D,07,D,2020,D
04529451,1,3.70696,2,2,110210,7,D,7,D,07,D,2020,D
04529451,1,2.87731,2,2,110410,7,D,7,D,07,D,2020,D
04529451,1,4.08949,2,2,110510,7,D,7,D,07,D,2020,D
04529451,1,5.29928,2,2,130310,7,D,7,D,07,D,2020,D
04529451,1,4.68411,2,2,140110,7,D,7,D,07,D,2020,D
04529451,0,2.13000,2,2,150110,5,D,5,D,07,D,2020,D
04529451,1,5.63274,2,2,150310,7,D,7,D,07,D,2020,D
04529451,1,5.27623,2,2,160211,7,D,7,D,07,D,2020,D
04529451,1,4.28287,2,2,170110,7,D,7,D,07,D,2020,D
04529451,1,3.87299,2,2,170210,7,D,7,D,07,D,2020,D
04529451,1,1.94819,2,2,170310,7,D,7,D,07,D,2020,D
04529451,1,2.04181,2,2,170410,7,D,7,D,07,D,2020,D
04529451,1,4.75633,2,2,170520,7,D,7,D,07,D,2020,D
04529451,0,4.99000,2,2,170532,3,D,3,D,07,D,2020,D
04529451,0,1.75000,2,2,180110,7,D,7,D,07,D,2020,D
04529451,1,4.59796,2,2,180220,7,D,7,D,07,D,2020,D
04529451,0,2.99000,2,2,180310,2,D,2,D,07,D,2020,D
04529451,0,4.59000,2,2,180310,7,D,7,D,07,D,2020,D
04529451,1,2.71859,2,2,180310,7,D,7,D,07,D,2020,D
04529451,1,3.29321,2,2,180510,7,D,7,D,07,D,2020,D
04529451,1,3.26955,2,2,180710,7,D,7,D,07,D,2020,D
04529451,0,7.13000,2,2,190111,1,D,1,D,07,D,2020,D
04529451,0,9.45000,2,2,190111,3,D,3,D,07,D,2020,D
04529451,0,10.58000,2,2,190111,7,D,7,D,07,D,2020,D
04529451,0,7.51000,2,2,200310,6,D,6,D,07,D,2020,D
04529451,0,8.59000,2,2,200310,6,D,6,D,07,D,2020,D
04529451,0,7.51000,2,2,200310,6,D,6,D,07,D,2020,D
04529451,0,21.49000,2,2,280120,6,D,6,D,07,D,2020,D
04529451,0,11.70000,2,2,330410,5,D,5,D,07,D,2020,D
04529451,0,10.66000,2,2,330410,5,D,5,D,07,D,2020,D
04529451,0,13.96000,2,2,380210,3,D,3,D,07,D,2020,D
04529451,0,6.88000,2,1,470111,3,D,3,D,07,D,2020,D
04529451,0,28.00000,2,1,470111,7,D,7,D,07,D,2020,D
04529451,0,7.53000,2,2,490000,1,D,1,D,07,D,2020,D
04529451,0,6.41000,2,2,550210,2,D,2,D,07,D,2020,D
04529451,0,11.76000,2,2,550210,2,D,2,D,07,D,2020,D
04529451,0,5.34000,2,2,550210,2,D,2,D,07,D,2020,D
04529451,0,5.34000,2,2,550210,2,D,2,D,07,D,2020,D
04529451,0,3.81000,2,2,610110,5,D,5,D,07,D,2020,D
04529451,0,1.04000,2,2,610110,5,D,5,D,07,D,2020,D
04529451,0,1.04000,2,2,610110,5,D,5,D,07,D,2020,D
04529451,0,1.04000,2,2,610110,5,D,5,D,07,D,2020,D
04529451,0,1.04000,2,2,610110,5,D,5,D,07,D,2020,D
04529452,0,2.50000,2,2,010210,7,D,7,D,07,D,2020,D
04529452,0,2.50000,2,2,010210,7,D,7,D,07,D,2020,D
04529452,0,2.50000,2,2,010210,7,D,7,D,07,D,2020,D
04529452,0,2.50000,2,2,010210,7,D,7,D,07,D,2020,D
04529452,0,6.97000,2,2,020410,6,D,6,D,07,D,2020,D
04529452,0,2.49000,2,2,090210,2,D,2,D,07,D,2020,D
04529452,0,4.29000,2,2,100510,2,D,2,D,07,D,2020,D
04529452,0,0.95000,2,2,150110,6,D,6,D,07,D,2020,D
04529452,0,4.50000,2,2,150110,2,D,2,D,07,D,2020,D
04529452,0,1.00000,2,2,180310,1,D,1,D,07,D,2020,D
04529452,0,1.44000,2,2,180310,6,D,6,D,07,D,2020,D
04529452,0,1.99000,2,2,180410,2,D,2,D,07,D,2020,D
04529452,0,2.50000,2,2,180710,7,D,7,D,07,D,2020,D
04529452,0,2.50000,2,2,180710,7,D,7,D,07,D,2020,D
04529452,0,2.50000,2,1,240110,6,D,6,D,07,D,2020,D
04529452,0,2.50000,2,1,240110,6,D,6,D,07,D,2020,D
04529452,0,0.51000,2,2,320905,6,D,6,D,07,D,2020,D
04529452,0,0.99000,2,2,320905,6,D,6,D,07,D,2020,D
04529452,0,3.19000,2,2,320905,6,D,6,D,07,D,2020,D
04529452,0,0.99000,2,2,320905,6,D,6,D,07,D,2020,D
04529452,0,0.54000,2,2,330410,6,D,6,D,07,D,2020,D
04529452,0,4.81000,2,2,330410,6,D,6,D,07,D,2020,D
04529452,0,3.23000,2,2,330410,7,D,7,D,07,D,2020,D
04529452,0,11.27000,2,2,390210,7,D,7,D,07,D,2020,D
04529452,0,10.74000,2,2,390310,7,D,7,D,07,D,2020,D
04529452,0,3.20000,2,2,550310,1,D,1,D,07,D,2020,D
04529452,0,6.42000,2,2,610110,1,D,1,D,07,D,2020,D
04529452,0,6.42000,2,2,610110,1,D,1,D,07,D,2020,D
04529452,0,8.47000,2,2,610110,1,D,1,D,07,D,2020,D
04529452,0,5.38000,2,2,610110,1,D,1,D,07,D,2020,D
04529452,0,4.29000,2,2,610110,7,D,7,D,07,D,2020,D
04529452,0,4.27000,2,2,640120,1,D,1,D,07,D,2020,D
04529452,0,4.30000,2,2,640310,6,D,6,D,07,D,2020,D
04529452,0,4.30000,2,2,640310,6,D,6,D,07,D,2020,D
04529452,0,5.29000,2,2,640410,1,D,1,D,07,D,2020,D
04529452,0,5.29000,2,2,640410,1,D,1,D,07,D,2020,D
04529452,0,1.47000,2,2,660000,6,D,6,D,07,D,2020,D
04529452,0,1.47000,2,2,660000,6,D,6,D,07,D,2020,D
04529452,0,1.88000,2,2,660000,6,D,6,D,07,D,2020,D
04529452,0,0.72000,2,2,660000,,B,,B,,B,,B
