"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
"04299611","800940","2708","","1"
"04299611","900000","35000","","1"
"04299611","900160","200","","1"
"04299611","980000","35200","","1"
"04299611","980010","8","","1"
"04299611","980020","38","","1"
"04299611","980030","1","","1"
"04299611","980050","6","","1"
"04299611","980090","100","","1"
"04299611","980210","100","","1"
"04299611","980230","100","","1"
"04299611","980281","100","","1"
"04299611","980286","100","","1"
"04299611","980290","100","","1"
"04299612","800940","2708","","1"
"04299612","900000","35000","","1"
"04299612","900160","200","","1"
"04299612","980000","35200","","1"
"04299612","980010","8","","1"
"04299612","980020","38","","1"
"04299612","980030","1","","1"
"04299612","980050","6","","1"
"04299612","980090","100","","1"
"04299612","980210","100","","1"
"04299612","980230","100","","1"
"04299612","980281","100","","1"
"04299612","980286","100","","1"
"04299612","980290","100","","1"
"04299631","900030","4504","","1"
"04299631","900210","27500","","1"
"04299631","980000","32004","","1"
"04299631","980010","2","","1"
"04299631","980020","70","","1"
"04299631","980040","1","","1"
"04299631","980060","2","","1"
"04299631","980090","100","","1"
"04299631","980210","100","","1"
"04299631","980240","100","","1"
"04299631","980281","100","","1"
"04299631","980285","100","","1"
"04299631","980310","100","","1"
"04299631","980330","100","","1"
"04299632","900030","5483","","1"
"04299632","900210","27500","","1"
"04299632","980000","32983","","1"
"04299632","980010","2","","1"
"04299632","980020","70","","1"
"04299632","980040","1","","1"
"04299632","980060","2","","1"
"04299632","980090","100","","1"
"04299632","980210","100","","1"
"04299632","980240","100","","1"
"04299632","980281","100","","1"
"04299632","980285","100","","1"
"04299632","980310","100","","1"
"04299632","980330","100","","1"
"04299671","900000","30000","","1"
"04299671","900150","6000","","1"
"04299671","980000","36000","","1"
"04299671","980010","7","","1"
"04299671","980020","35","","1"
"04299671","980030","1","","1"
"04299671","980040","1","","1"
"04299671","980050","5","","1"
"04299671","980220","100","","1"
"04299671","980260","100","","1"
"04299671","980270","100","","1"
"04299671","980286","100","","1"
"04299671","980300","100","","1"
"04299671","980330","100","","1"
"04299672","900000","30000","","1"
"04299672","900150","6000","","1"
"04299672","980000","36000","","1"
"04299672","980010","7","","1"
"04299672","980020","35","","1"
"04299672","980030","1","","1"
"04299672","980040","1","","1"
"04299672","980050","5","","1"
"04299672","980220","100","","1"
"04299672","980260","100","","1"
"04299672","980270","100","","1"
"04299672","980286","100","","1"
"04299672","980300","100","","1"
"04299672","980330","100","","1"
"04299681","900000","96236","","1"
"04299681","980000","96236","","1"
"04299681","980010","2","","1"
"04299681","980020","34","","1"
"04299681","980030","2","","1"
"04299681","980040","2","","1"
"04299681","980090","100","","1"
"04299681","980210","100","","1"
"04299681","980230","100","","1"
"04299681","980281","100","","1"
"04299681","980286","100","","1"
"04299681","980310","100","","1"
"04299681","980330","100","","1"
"04299682","900000","116178","","1"
"04299682","980000","116178","","1"
"04299682","980010","2","","1"
"04299682","980020","34","","1"
"04299682","980030","2","","1"
"04299682","980040","2","","1"
"04299682","980090","100","","1"
"04299682","980210","100","","1"
"04299682","980230","100","","1"
"04299682","980281","100","","1"
"04299682","980286","100","","1"
"04299682","980310","100","","1"
"04299682","980330","100","","1"
"04299691","800932","5000","","1"
"04299691","900000","123000","","1"
"04299691","980000","123000","","1"
"04299691","980010","5","","1"
"04299691","980020","34","","1"
"04299691","980030","2","","1"
"04299691","980040","2","","1"
"04299691","980050","3","","1"
"04299691","980090","100","","1"
"04299691","980220","100","","1"
"04299691","980230","100","","1"
"04299691","980281","100","","1"
"04299691","980286","100","","1"
"04299691","980310","100","","1"
"04299691","980330","100","","1"
"04299692","800932","5000","","1"
"04299692","900000","123000","","1"
"04299692","980000","123000","","1"
"04299692","980010","5","","1"
"04299692","980020","34","","1"
"04299692","980030","2","","1"
"04299692","980040","2","","1"
"04299692","980050","3","","1"
"04299692","980090","100","","1"
"04299692","980220","100","","1"
"04299692","980230","100","","1"
"04299692","980281","100","","1"
"04299692","980286","100","","1"
"04299692","980310","100","","1"
"04299692","980330","100","","1"
"04299721","900090","917","","1"
"04299721","980000","917","","1"
"04299721","980010","1","","1"
"04299721","980020","57","","1"
"04299721","980040","1","","1"
"04299721","980090","100","","1"
"04299721","980220","100","","1"
"04299721","980240","100","","1"
"04299721","980281","100","","1"
"04299721","980286","100","","1"
"04299721","980310","100","","1"
"04299721","980330","100","","1"
"04299722","900090","917","","1"
"04299722","980000","917","","1"
"04299722","980010","1","","1"
"04299722","980020","57","","1"
"04299722","980040","1","","1"
"04299722","980090","100","","1"
"04299722","980220","100","","1"
"04299722","980240","100","","1"
"04299722","980281","100","","1"
"04299722","980286","100","","1"
"04299722","980310","100","","1"
"04299722","980330","100","","1"
"04299751","800940","6304","","1"
"04299751","900000","48858","","1"
"04299751","900030","14886","","1"
"04299751","900160","16771","","1"
"04299751","980000","80515","","1"
"04299751","980010","2","","1"
"04299751","980020","61","","1"
"04299751","980030","2","","1"
"04299751","980040","2","","1"
"04299751","980090","100","","1"
"04299751","980220","100","","1"
"04299751","980230","100","","1"
"04299751","980281","100","","1"
"04299751","980286","100","","1"
"04299751","980300","100","","1"
"04299751","980330","100","","1"
"04299752","800940","5756","","1"
"04299752","900000","30845","","1"
"04299752","900030","14886","","1"
"04299752","900160","22198","","1"
"04299752","980000","67929","","1"
"04299752","980010","2","","1"
"04299752","980020","61","","1"
"04299752","980030","2","","1"
"04299752","980040","2","","1"
"04299752","980090","100","","1"
"04299752","980220","100","","1"
"04299752","980230","100","","1"
"04299752","980281","100","","1"
"04299752","980286","100","","1"
"04299752","980300","100","","1"
"04299752","980330","100","","1"
"04299761","800932","16500","","1"
"04299761","900000","26000","","1"
"04299761","900160","200824","T","1"
"04299761","900180","9182","","1"
"04299761","900190","60000","","1"
"04299761","980000","296006","T","1"
"04299761","980010","5","","1"
"04299761","980020","42","","1"
"04299761","980030","3","","1"
"04299761","980040","2","","1"
"04299761","980050","3","","1"
"04299761","980090","100","","1"
"04299761","980210","100","","1"
"04299761","980230","100","","1"
"04299761","980281","100","","1"
"04299761","980286","100","","1"
"04299761","980310","100","","1"
"04299761","980330","100","","1"
"04299762","800932","16500","","1"
"04299762","900000","26000","","1"
"04299762","900160","200824","T","1"
"04299762","900180","3855","","1"
"04299762","900190","60000","","1"
"04299762","980000","290679","T","1"
"04299762","980010","5","","1"
"04299762","980020","42","","1"
"04299762","980030","3","","1"
"04299762","980040","2","","1"
"04299762","980050","3","","1"
"04299762","980090","100","","1"
"04299762","980210","100","","1"
"04299762","980230","100","","1"
"04299762","980281","100","","1"
"04299762","980286","100","","1"
"04299762","980310","100","","1"
"04299762","980330","100","","1"
"04299771","900030","19200","","1"
"04299771","980000","19200","","1"
