NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
03975291,900000,72000,,1
03975291,900180,7,,1
03975291,980000,72007,,1
03975291,980010,1,,1
03975291,980020,29,,1
03975291,980030,1,,1
03975291,980040,1,,1
03975291,980090,100,,1
03975291,980210,100,,1
03975291,980230,100,,1
03975291,980281,100,,1
03975291,980286,100,,1
03975291,980310,100,,1
03975291,980330,100,,1
03975292,900000,72000,,1
03975292,900180,7,,1
03975292,980000,72007,,1
03975292,980010,1,,1
03975292,980020,29,,1
03975292,980030,1,,1
03975292,980040,1,,1
03975292,980090,100,,1
03975292,980210,100,,1
03975292,980230,100,,1
03975292,980281,100,,1
03975292,980286,100,,1
03975292,980310,100,,1
03975292,980330,100,,1
03975311,900000,8000,,1
03975311,900030,8808,,1
03975311,980000,16808,,1
03975311,980010,1,,1
03975311,980020,65,,1
03975311,980030,1,,1
03975311,980040,1,,1
03975311,980060,1,,1
03975311,980210,100,,1
03975311,980260,100,,1
03975311,980281,100,,1
03975311,980286,100,,1
03975311,980310,100,,1
03975311,980330,100,,1
03975312,900000,8000,,1
03975312,900030,8808,,1
03975312,980000,16808,,1
03975312,980010,1,,1
03975312,980020,65,,1
03975312,980030,1,,1
03975312,980040,1,,1
03975312,980060,1,,1
03975312,980210,100,,1
03975312,980260,100,,1
03975312,980281,100,,1
03975312,980286,100,,1
03975312,980310,100,,1
03975312,980330,100,,1
03975341,900030,9730,,1
03975341,980000,9730,,1
03975341,980010,1,,1
03975341,980020,66,,1
03975341,980040,1,,1
03975341,980060,1,,1
03975341,980090,100,,1
03975341,980220,100,,1
03975341,980240,100,,1
03975341,980281,100,,1
03975341,980285,100,,1
03975341,980310,100,,1
03975341,980330,100,,1
03975342,900030,19370,,1
03975342,900090,540,,1
03975342,980000,19911,,1
03975342,980010,1,,1
03975342,980020,66,,1
03975342,980040,1,,1
03975342,980060,1,,1
03975342,980090,100,,1
03975342,980220,100,,1
03975342,980240,100,,1
03975342,980281,100,,1
03975342,980285,100,,1
03975342,980310,100,,1
03975342,980330,100,,1
03975371,900030,13836,,1
03975371,900170,284,,1
03975371,980000,14120,,1
03975371,980010,1,,1
03975371,980020,65,,1
03975371,980040,1,,1
03975371,980060,1,,1
03975371,980220,100,,1
03975371,980260,100,,1
03975371,980281,100,,1
03975371,980285,100,,1
03975371,980310,100,,1
03975371,980330,100,,1
03975372,900030,13836,,1
03975372,900170,284,,1
03975372,980000,14120,,1
03975372,980010,1,,1
03975372,980020,65,,1
03975372,980040,1,,1
03975372,980060,1,,1
03975372,980220,100,,1
03975372,980260,100,,1
03975372,980281,100,,1
03975372,980285,100,,1
03975372,980310,100,,1
03975372,980330,100,,1
03975391,800931,29396,,1
03975391,900000,270000,,1
03975391,900180,200,,1
03975391,980000,270200,,1
03975391,980010,2,,1
03975391,980020,56,,1
03975391,980030,2,,1
03975391,980040,2,,1
03975391,980090,100,,1
03975391,980220,100,,1
03975391,980230,100,,1
03975391,980282,100,,1
03975391,980286,100,,1
03975391,980310,100,,1
03975391,980330,100,,1
03975392,800931,29396,,1
03975392,900000,270000,,1
03975392,900180,200,,1
03975392,980000,270200,,1
03975392,980010,2,,1
03975392,980020,56,,1
03975392,980030,2,,1
03975392,980040,2,,1
03975392,980090,100,,1
03975392,980220,100,,1
03975392,980230,100,,1
