NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
04048931,900000,82000,,1
04048931,980000,82000,,1
04048931,980010,2,,1
04048931,980020,47,,1
04048931,980030,2,,1
04048931,980040,2,,1
04048931,980090,100,,1
04048931,980220,100,,1
04048931,980230,100,,1
04048931,980281,100,,1
04048931,980286,100,,1
04048931,980300,100,,1
04048931,980330,100,,1
04048932,900000,82000,,1
04048932,980000,82000,,1
04048932,980010,2,,1
04048932,980020,47,,1
04048932,980030,2,,1
04048932,980040,2,,1
04048932,980090,100,,1
04048932,980220,100,,1
04048932,980230,100,,1
04048932,980281,100,,1
04048932,980286,100,,1
04048932,980300,100,,1
04048932,980330,100,,1
04048951,900000,34453,,1
04048951,980000,34453,,1
04048951,980010,4,,1
04048951,980020,25,,1
04048951,980030,2,,1
04048951,980040,2,,1
04048951,980050,2,,1
04048951,980090,100,,1
04048951,980220,100,,1
04048951,980240,100,,1
04048951,980281,100,,1
04048951,980286,100,,1
04048951,980310,100,,1
04048951,980330,100,,1
04048952,900000,34546,,1
04048952,980000,34546,,1
04048952,980010,4,,1
04048952,980020,25,,1
04048952,980030,2,,1
04048952,980040,2,,1
04048952,980050,2,,1
04048952,980090,100,,1
04048952,980220,100,,1
04048952,980240,100,,1
04048952,980281,100,,1
04048952,980286,100,,1
04048952,980310,100,,1
04048952,980330,100,,1
04048961,800940,14510,T,1
04048961,900000,60000,,1
04048961,900030,23136,,1
04048961,900160,189507,T,1
04048961,980000,272643,T,1
04048961,980010,2,,1
04048961,980020,83,,1
04048961,980030,1,,1
04048961,980040,1,,1
04048961,980060,2,,1
04048961,980090,100,,1
04048961,980210,100,,1
04048961,980240,100,,1
04048961,980281,100,,1
04048961,980286,100,,1
04048961,980310,100,,1
04048961,980330,100,,1
04048962,800940,14510,T,1
04048962,900000,60000,,1
04048962,900030,23136,,1
04048962,900160,25252,,1
04048962,980000,108388,,1
04048962,980010,2,,1
04048962,980020,83,,1
04048962,980030,1,,1
04048962,980040,1,,1
04048962,980060,2,,1
04048962,980090,100,,1
04048962,980210,100,,1
04048962,980240,100,,1
04048962,980281,100,,1
04048962,980286,100,,1
04048962,980310,100,,1
04048962,980330,100,,1
04048971,900000,16235,,1
04048971,900030,20328,,1
04048971,980000,36563,,1
04048971,980010,1,,1
04048971,980020,66,,1
04048971,980030,1,,1
04048971,980040,1,,1
04048971,980060,1,,1
04048971,980090,100,,1
04048971,980220,100,,1
04048971,980230,100,,1
04048971,980281,100,,1
04048971,980286,100,,1
04048971,980310,100,,1
04048971,980330,100,,1
04048972,900000,16235,,1
04048972,900030,20328,,1
04048972,980000,36563,,1
04048972,980010,1,,1
04048972,980020,66,,1
04048972,980030,1,,1
04048972,980040,1,,1
04048972,980060,1,,1
04048972,980090,100,,1
04048972,980220,100,,1
04048972,980230,100,,1
04048972,980281,100,,1
04048972,980286,100,,1
04048972,980310,100,,1
04048972,980330,100,,1
04049001,900000,259241,T,1
04049001,980000,259241,T,1
04049001,980010,5,,1
04049001,980020,44,,1
04049001,980030,2,,1
04049001,980040,3,,1
04049001,980050,3,,1
04049001,980090,100,,1
04049001,980220,100,,1
04049001,980230,100,,1
04049001,980283,100,,1
04049001,980285,100,,1
04049001,980310,100,,1
04049001,980330,100,,1
04049002,900000,258349,T,1
04049002,980000,258349,T,1
04049002,980010,5,,1
04049002,980020,44,,1
04049002,980030,2,,1
04049002,980040,3,,1
04049002,980050,3,,1
04049002,980090,100,,1
04049002,980220,100,,1
04049002,980230,100,,1
04049002,980283,100,,1
04049002,980285,100,,1
04049002,980310,100,,1
04049002,980330,100,,1
04049011,800700,60,,1
04049011,900000,15000,,1
04049011,900030,19608,,1
04049011,900170,820,,1
04049011,980000,35428,,1
04049011,980010,1,,1
04049011,980020,64,,1
04049011,980030,1,,1
04049011,980040,3,,1
04049011,980090,100,,1
04049011,980210,100,,1
04049011,980230,100,,1
04049011,980281,100,,1
04049011,980286,100,,1
04049011,980310,100,,1
04049011,980330,100,,1
04049012,800700,60,,1
04049012,900000,15000,,1
04049012,900030,19608,,1
04049012,900170,820,,1
04049012,980000,35428,,1
04049012,980010,1,,1
04049012,980020,64,,1
04049012,980030,1,,1
04049012,980040,3,,1
04049012,980090,100,,1
04049012,980210,100,,1
04049012,980230,100,,1
04049012,980281,100,,1
04049012,980286,100,,1
04049012,980310,100,,1
04049012,980330,100,,1
04049021,900030,31078,,1
04049021,900170,37515,,1
04049021,900180,5448,,1
04049021,980000,74040,,1
04049021,980010,2,,1
04049021,980020,75,,1
04049021,980040,2,,1
04049021,980060,2,,1
04049021,980090,100,,1
04049021,980220,100,,1
04049021,980240,100,,1
04049021,980281,100,,1
04049021,980286,100,,1
04049021,980300,100,,1
04049021,980330,100,,1
04049022,900030,34102,,1
04049022,900170,30809,,1
04049022,900180,8307,,1
04049022,980000,73217,,1
04049022,980010,2,,1
04049022,980020,75,,1
04049022,980040,2,,1
04049022,980060,2,,1
04049022,980090,100,,1
04049022,980220,100,,1
04049022,980240,100,,1
04049022,980281,100,,1
04049022,980286,100,,1
04049022,980300,100,,1
04049022,980330,100,,1
04049051,800910,479,,1
04049051,800931,2476,,1
04049051,900000,79248,,1
04049051,900180,30,,1
04049051,900220,10,,1
04049051,980000,79278,,1
04049051,980010,4,,1
04049051,980020,39,,1
04049051,980030,3,,1
04049051,980040,2,,1
04049051,980050,2,,1
04049051,980090,100,,1
04049051,980220,100,,1
04049051,980230,100,,1
04049051,980281,100,,1
04049051,980286,100,,1
04049051,980310,100,,1
04049051,980330,100,,1
04049052,800910,479,,1
04049052,800931,2476,,1
04049052,900000,79248,,1
04049052,900180,30,,1
04049052,900220,10,,1
04049052,980000,79278,,1
04049052,980010,4,,1
04049052,980020,39,,1
04049052,980030,3,,1
04049052,980040,2,,1
04049052,980050,2,,1
04049052,980090,100,,1
04049052,980220,100,,1
04049052,980230,100,,1
04049052,980281,100,,1
04049052,980286,100,,1
04049052,980310,100,,1
04049052,980330,100,,1
04049061,800932,1000,,1
04049061,800940,14510,T,1
04049061,900000,34530,,1
04049061,900160,264576,T,1
04049061,900180,48,,1
04049061,900190,1226,,1
04049061,980000,300380,T,1
04049061,980010,4,,1
04049061,980020,43,,1
04049061,980030,2,,1
04049061,980040,2,,1
04049061,980050,2,,1
04049061,980090,100,,1
04049061,980220,100,,1
04049061,980230,100,,1
04049061,980281,100,,1
04049061,980286,100,,1
04049061,980310,100,,1
04049061,980330,100,,1
04049062,800932,1000,,1
04049062,800940,6369,,1
04049062,900000,37184,,1
04049062,900160,99371,,1
04049062,900180,61,,1
04049062,900190,1428,,1
04049062,980000,138044,,1
04049062,980010,4,,1
04049062,980020,43,,1
04049062,980030,2,,1
04049062,980040,2,,1
04049062,980050,2,,1
04049062,980090,100,,1
04049062,980220,100,,1
04049062,980230,100,,1
04049062,980281,100,,1
04049062,980286,100,,1
04049062,980310,100,,1
04049062,980330,100,,1
04049081,900030,20808,,1
04049081,900170,400,,1
04049081,900180,700,,1
04049081,980000,21908,,1
04049081,980010,1,,1
04049081,980020,88,T,1
04049081,980040,1,,1
04049081,980060,1,,1
04049081,980090,100,,1
04049081,980220,100,,1
04049081,980240,100,,1
04049081,980281,100,,1
04049081,980286,100,,1
04049081,980310,100,,1
04049081,980330,100,,1
04049082,900030,20808,,1
04049082,900170,400,,1
04049082,900180,700,,1
04049082,980000,21908,,1
04049082,980010,1,,1
04049082,980020,88,T,1
04049082,980040,1,,1
04049082,980060,1,,1
04049082,980090,100,,1
04049082,980220,100,,1
04049082,980240,100,,1
04049082,980281,100,,1
04049082,980286,100,,1
04049082,980310,100,,1
04049082,980330,100,,1
04049091,900000,100000,,1
04049091,900190,18000,,1
04049091,980000,118000,,1
04049091,980010,4,,1
04049091,980020,30,,1
04049091,980030,2,,1
04049091,980040,2,,1
