NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
03912691,900000,92000,1,1,
03912691,900000,92000,2,1,
03912691,900000,92000,3,1,
03912691,900000,92000,4,1,
03912691,900000,92000,5,1,
03912691,980000,92000,1,1,
03912691,980000,92000,2,1,
03912691,980000,92000,3,1,
03912691,980000,92000,4,1,
03912691,980000,92000,5,1,
03912692,900000,92000,1,1,
03912692,900000,92000,2,1,
03912692,900000,92000,3,1,
03912692,900000,92000,4,1,
03912692,900000,92000,5,1,
03912692,980000,92000,1,1,
03912692,980000,92000,2,1,
03912692,980000,92000,3,1,
03912692,980000,92000,4,1,
03912692,980000,92000,5,1,
03912701,900000,68695,1,1,
03912701,900000,63411,2,1,
03912701,900000,97661,3,1,
03912701,900000,96017,4,1,
03912701,900000,66118,5,1,
03912701,980000,68695,1,1,
03912701,980000,63411,2,1,
03912701,980000,97661,3,1,
03912701,980000,96017,4,1,
03912701,980000,66118,5,1,
03912702,900000,64257,1,1,
03912702,900000,72883,2,1,
03912702,900000,61572,3,1,
03912702,900000,63280,4,1,
03912702,900000,49665,5,1,
03912702,980000,64257,1,1,
03912702,980000,72883,2,1,
03912702,980000,61572,3,1,
03912702,980000,63280,4,1,
03912702,980000,49665,5,1,
03912721,900030,17508,1,1,
03912721,900030,14604,2,1,
03912721,900030,15252,3,1,
03912721,900030,19044,4,1,
03912721,900030,17592,5,1,
03912721,900150,1560,1,1,
03912721,900150,1560,2,1,
03912721,900150,1560,3,1,
03912721,900150,1560,4,1,
03912721,900150,1560,5,1,
03912721,900180,3000,1,1,
03912721,900180,3000,2,1,
03912721,900180,3000,3,1,
03912721,900180,3000,4,1,
03912721,900180,3000,5,1,
03912721,980000,22068,1,1,
03912721,980000,19164,2,1,
03912721,980000,19812,3,1,
03912721,980000,23604,4,1,
03912721,980000,22152,5,1,
03912722,900030,15840,1,1,
03912722,900030,20232,2,1,
03912722,900030,18708,3,1,
03912722,900030,16584,4,1,
03912722,900030,18432,5,1,
03912722,900150,1560,1,1,
03912722,900150,1560,2,1,
03912722,900150,1560,3,1,
03912722,900150,1560,4,1,
03912722,900150,1560,5,1,
03912722,900180,3000,1,1,
03912722,900180,3000,2,1,
03912722,900180,3000,3,1,
03912722,900180,3000,4,1,
03912722,900180,3000,5,1,
03912722,980000,20400,1,1,
03912722,980000,24792,2,1,
03912722,980000,23268,3,1,
03912722,980000,21144,4,1,
03912722,980000,22992,5,1,
03912741,900000,200000,1,1,
03912741,900000,200000,2,1,
03912741,900000,200000,3,1,
03912741,900000,200000,4,1,
03912741,900000,200000,5,1,
03912741,980000,200000,1,1,
03912741,980000,200000,2,1,
03912741,980000,200000,3,1,
03912741,980000,200000,4,1,
03912741,980000,200000,5,1,
03912742,900000,200000,1,1,
03912742,900000,200000,2,1,
03912742,900000,200000,3,1,
03912742,900000,200000,4,1,
03912742,900000,200000,5,1,
03912742,980000,200000,1,1,
03912742,980000,200000,2,1,
03912742,980000,200000,3,1,
03912742,980000,200000,4,1,
03912742,980000,200000,5,1,
03912761,800940,2482,1,1,
03912761,800940,2482,2,1,
03912761,800940,2482,3,1,
03912761,800940,2482,4,1,
03912761,800940,2482,5,1,
03912761,900000,23880,1,1,
03912761,900000,23880,2,1,
03912761,900000,23880,3,1,
03912761,900000,23880,4,1,
03912761,900000,23880,5,1,
03912761,900150,2112,1,1,
03912761,900150,2112,2,1,
03912761,900150,2112,3,1,
03912761,900150,2112,4,1,
03912761,900150,2112,5,1,
03912761,900160,10000,1,1,
03912761,900160,10000,2,1,
03912761,900160,10000,3,1,
03912761,900160,10000,4,1,
03912761,900160,10000,5,1,
03912761,980000,35992,1,1,
03912761,980000,35992,2,1,
03912761,980000,35992,3,1,
03912761,980000,35992,4,1,
03912761,980000,35992,5,1,
03912762,800940,2482,1,1,
03912762,800940,2482,2,1,
03912762,800940,2482,3,1,
03912762,800940,2482,4,1,
03912762,800940,2482,5,1,
03912762,900000,23880,1,1,
03912762,900000,23880,2,1,
03912762,900000,23880,3,1,
03912762,900000,23880,4,1,
03912762,900000,23880,5,1,
03912762,900150,2112,1,1,
03912762,900150,2112,2,1,
03912762,900150,2112,3,1,
03912762,900150,2112,4,1,
03912762,900150,2112,5,1,
03912762,900160,10000,1,1,
03912762,900160,10000,2,1,
03912762,900160,10000,3,1,
03912762,900160,10000,4,1,
03912762,900160,10000,5,1,
03912762,980000,35992,1,1,
03912762,980000,35992,2,1,
03912762,980000,35992,3,1,
03912762,980000,35992,4,1,
03912762,980000,35992,5,1,
03912781,900000,112000,1,1,
03912781,900000,112000,2,1,
03912781,900000,112000,3,1,
03912781,900000,112000,4,1,
03912781,900000,112000,5,1,
03912781,900180,78,1,1,
