NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
04048931,900000,82000,1,1,
04048931,900000,82000,2,1,
04048931,900000,82000,3,1,
04048931,900000,82000,4,1,
04048931,900000,82000,5,1,
04048931,980000,82000,1,1,
04048931,980000,82000,2,1,
04048931,980000,82000,3,1,
04048931,980000,82000,4,1,
04048931,980000,82000,5,1,
04048932,900000,82000,1,1,
04048932,900000,82000,2,1,
04048932,900000,82000,3,1,
04048932,900000,82000,4,1,
04048932,900000,82000,5,1,
04048932,980000,82000,1,1,
04048932,980000,82000,2,1,
04048932,980000,82000,3,1,
04048932,980000,82000,4,1,
04048932,980000,82000,5,1,
04048951,900000,34039,1,1,
04048951,900000,35633,2,1,
04048951,900000,34466,3,1,
04048951,900000,34632,4,1,
04048951,900000,33494,5,1,
04048951,980000,34039,1,1,
04048951,980000,35633,2,1,
04048951,980000,34466,3,1,
04048951,980000,34632,4,1,
04048951,980000,33494,5,1,
04048952,900000,35012,1,1,
04048952,900000,34535,2,1,
04048952,900000,35775,3,1,
04048952,900000,33343,4,1,
04048952,900000,34065,5,1,
04048952,980000,35012,1,1,
04048952,980000,34535,2,1,
04048952,980000,35775,3,1,
04048952,980000,33343,4,1,
04048952,980000,34065,5,1,
04048961,800940,14510,1,1,T
04048961,800940,14510,2,1,T
04048961,800940,14510,3,1,T
04048961,800940,14510,4,1,T
04048961,800940,14510,5,1,T
04048961,900000,60000,1,1,
04048961,900000,60000,2,1,
04048961,900000,60000,3,1,
04048961,900000,60000,4,1,
04048961,900000,60000,5,1,
04048961,900030,23136,1,1,
04048961,900030,23136,2,1,
04048961,900030,23136,3,1,
04048961,900030,23136,4,1,
04048961,900030,23136,5,1,
04048961,900160,189507,1,1,T
04048961,900160,189507,2,1,T
04048961,900160,189507,3,1,T
04048961,900160,189507,4,1,T
04048961,900160,189507,5,1,T
04048961,980000,272643,1,1,T
04048961,980000,272643,2,1,T
04048961,980000,272643,3,1,T
04048961,980000,272643,4,1,T
04048961,980000,272643,5,1,T
04048962,800940,14510,1,1,T
04048962,800940,14510,2,1,T
04048962,800940,14510,3,1,T
04048962,800940,14510,4,1,T
04048962,800940,14510,5,1,T
04048962,900000,60000,1,1,
04048962,900000,60000,2,1,
04048962,900000,60000,3,1,
04048962,900000,60000,4,1,
04048962,900000,60000,5,1,
04048962,900030,23136,1,1,
04048962,900030,23136,2,1,
04048962,900030,23136,3,1,
04048962,900030,23136,4,1,
04048962,900030,23136,5,1,
04048962,900160,21278,1,1,
04048962,900160,8098,2,1,
04048962,900160,12356,3,1,
04048962,900160,21203,4,1,
04048962,900160,63324,5,1,
04048962,980000,104414,1,1,
04048962,980000,91234,2,1,
04048962,980000,95492,3,1,
04048962,980000,104339,4,1,
04048962,980000,146460,5,1,
04048971,900000,16235,1,1,
04048971,900000,16235,2,1,
04048971,900000,16235,3,1,
04048971,900000,16235,4,1,
04048971,900000,16235,5,1,
04048971,900030,20328,1,1,
04048971,900030,20328,2,1,
04048971,900030,20328,3,1,
04048971,900030,20328,4,1,
04048971,900030,20328,5,1,
04048971,980000,36563,1,1,
04048971,980000,36563,2,1,
04048971,980000,36563,3,1,
04048971,980000,36563,4,1,
04048971,980000,36563,5,1,
04048972,900000,16235,1,1,
04048972,900000,16235,2,1,
04048972,900000,16235,3,1,
04048972,900000,16235,4,1,
04048972,900000,16235,5,1,
04048972,900030,20328,1,1,
04048972,900030,20328,2,1,
04048972,900030,20328,3,1,
04048972,900030,20328,4,1,
04048972,900030,20328,5,1,
04048972,980000,36563,1,1,
04048972,980000,36563,2,1,
04048972,980000,36563,3,1,
04048972,980000,36563,4,1,
04048972,980000,36563,5,1,
04049001,900000,259241,1,1,T
04049001,900000,259241,2,1,T
04049001,900000,259241,3,1,T
04049001,900000,259241,4,1,T
04049001,900000,259241,5,1,T
04049001,980000,259241,1,1,T
04049001,980000,259241,2,1,T
04049001,980000,259241,3,1,T
04049001,980000,259241,4,1,T
04049001,980000,259241,5,1,T
04049002,900000,258349,1,1,T
04049002,900000,258349,2,1,T
04049002,900000,258349,3,1,T
04049002,900000,258349,4,1,T
04049002,900000,258349,5,1,T
04049002,980000,258349,1,1,T
04049002,980000,258349,2,1,T
04049002,980000,258349,3,1,T
04049002,980000,258349,4,1,T
04049002,980000,258349,5,1,T
04049011,900000,15000,1,1,
04049011,900000,15000,2,1,
04049011,900000,15000,3,1,
04049011,900000,15000,4,1,
04049011,900000,15000,5,1,
04049011,900030,19608,1,1,
04049011,900030,19608,2,1,
04049011,900030,19608,3,1,
04049011,900030,19608,4,1,
04049011,900030,19608,5,1,
04049011,900170,820,1,1,
04049011,900170,820,2,1,
04049011,900170,820,3,1,
04049011,900170,820,4,1,
04049011,900170,820,5,1,
04049011,980000,35428,1,1,
04049011,980000,35428,2,1,
04049011,980000,35428,3,1,
04049011,980000,35428,4,1,
04049011,980000,35428,5,1,
04049012,900000,15000,1,1,
04049012,900000,15000,2,1,
04049012,900000,15000,3,1,
04049012,900000,15000,4,1,
04049012,900000,15000,5,1,
04049012,900030,19608,1,1,
04049012,900030,19608,2,1,
04049012,900030,19608,3,1,
04049012,900030,19608,4,1,
04049012,900030,19608,5,1,
04049012,900170,820,1,1,
04049012,900170,820,2,1,
04049012,900170,820,3,1,
04049012,900170,820,4,1,
04049012,900170,820,5,1,
04049012,980000,35428,1,1,
04049012,980000,35428,2,1,
04049012,980000,35428,3,1,
04049012,980000,35428,4,1,
04049012,980000,35428,5,1,
04049021,900030,30888,1,1,
04049021,900030,34980,2,1,
04049021,900030,36732,3,1,
04049021,900030,32004,4,1,
04049021,900030,20784,5,1,
04049021,900170,21845,1,1,
04049021,900170,72508,2,1,
04049021,900170,14533,3,1,
04049021,900170,2092,4,1,
04049021,900170,76595,5,1,
04049021,900180,2126,1,1,
04049021,900180,2551,2,1,
04049021,900180,1001,3,1,
04049021,900180,213,4,1,
04049021,900180,21347,5,1,
04049021,980000,54859,1,1,
04049021,980000,110039,2,1,
04049021,980000,52266,3,1,
04049021,980000,34309,4,1,
04049021,980000,118726,5,1,
04049022,900030,31968,1,1,
04049022,900030,29280,2,1,
04049022,900030,46356,3,1,
04049022,900030,42408,4,1,
04049022,900030,20496,5,1,
04049022,900170,954,1,1,
04049022,900170,46245,2,1,
04049022,900170,6036,3,1,
04049022,900170,62533,4,1,
04049022,900170,38275,5,1,
04049022,900180,37379,1,1,
04049022,900180,2797,2,1,
04049022,900180,827,3,1,
04049022,900180,523,4,1,
04049022,900180,10,5,1,
04049022,980000,70301,1,1,
04049022,980000,78322,2,1,
04049022,980000,53219,3,1,
04049022,980000,105464,4,1,
04049022,980000,58781,5,1,
04049051,900000,79248,1,1,
04049051,900000,79248,2,1,
04049051,900000,79248,3,1,
04049051,900000,79248,4,1,
04049051,900000,79248,5,1,
04049051,900180,30,1,1,
04049051,900180,30,2,1,
04049051,900180,30,3,1,
04049051,900180,30,4,1,
04049051,900180,30,5,1,
04049051,980000,79278,1,1,
04049051,980000,79278,2,1,
04049051,980000,79278,3,1,
04049051,980000,79278,4,1,
04049051,980000,79278,5,1,
04049052,900000,79248,1,1,
04049052,900000,79248,2,1,
04049052,900000,79248,3,1,
04049052,900000,79248,4,1,
04049052,900000,79248,5,1,
04049052,900180,30,1,1,
04049052,900180,30,2,1,
04049052,900180,30,3,1,
04049052,900180,30,4,1,
04049052,900180,30,5,1,
04049052,980000,79278,1,1,
04049052,980000,79278,2,1,
04049052,980000,79278,3,1,
04049052,980000,79278,4,1,
04049052,980000,79278,5,1,
04049061,800940,14510,1,1,T
04049061,800940,14510,2,1,T
04049061,800940,14510,3,1,T
04049061,800940,14510,4,1,T
04049061,800940,14510,5,1,T
04049061,900000,33718,1,1,
04049061,900000,32872,2,1,
04049061,900000,38937,3,1,
04049061,900000,33909,4,1,
04049061,900000,33214,5,1,
04049061,900160,264576,1,1,T
04049061,900160,264576,2,1,T
04049061,900160,264576,3,1,T
04049061,900160,264576,4,1,T
04049061,900160,264576,5,1,T
04049061,900180,26,1,1,
04049061,900180,12,2,1,
04049061,900180,81,3,1,
04049061,900180,116,4,1,
04049061,900180,5,5,1,
04049061,900190,1358,1,1,
04049061,900190,1318,2,1,
04049061,900190,1100,3,1,
04049061,900190,1344,4,1,
04049061,900190,1012,5,1,
04049061,980000,300380,1,1,T
04049061,980000,300380,2,1,T
04049061,980000,300380,3,1,T
04049061,980000,300380,4,1,T
04049061,980000,300380,5,1,T
04049062,800940,7252,1,1,
04049062,800940,4486,2,1,
04049062,800940,9823,3,1,
04049062,800940,7888,4,1,
04049062,800940,2394,5,1,
04049062,900000,35612,1,1,
04049062,900000,38140,2,1,
04049062,900000,33127,3,1,
04049062,900000,39695,4,1,
04049062,900000,39346,5,1,
04049062,900160,109719,1,1,
04049062,900160,81185,2,1,
04049062,900160,119816,3,1,
04049062,900160,103782,4,1,
04049062,900160,82353,5,1,
04049062,900180,90,1,1,
04049062,900180,34,2,1,
04049062,900180,32,3,1,
04049062,900180,51,4,1,
04049062,900180,100,5,1,
04049062,900190,1110,1,1,
04049062,900190,1118,2,1,
04049062,900190,1259,3,1,
04049062,900190,1674,4,1,
04049062,900190,1977,5,1,
04049062,980000,146531,1,1,
04049062,980000,120477,2,1,
04049062,980000,154234,3,1,
04049062,980000,145202,4,1,
04049062,980000,123776,5,1,
04049081,900030,20808,1,1,
04049081,900030,20808,2,1,
04049081,900030,20808,3,1,
04049081,900030,20808,4,1,
04049081,900030,20808,5,1,
04049081,900170,400,1,1,
04049081,900170,400,2,1,
04049081,900170,400,3,1,
04049081,900170,400,4,1,
04049081,900170,400,5,1,
04049081,900180,700,1,1,
04049081,900180,700,2,1,
04049081,900180,700,3,1,
04049081,900180,700,4,1,
04049081,900180,700,5,1,
04049081,980000,21908,1,1,
04049081,980000,21908,2,1,
04049081,980000,21908,3,1,
04049081,980000,21908,4,1,
04049081,980000,21908,5,1,
04049082,900030,20808,1,1,
04049082,900030,20808,2,1,
04049082,900030,20808,3,1,
04049082,900030,20808,4,1,
04049082,900030,20808,5,1,
04049082,900170,400,1,1,
04049082,900170,400,2,1,
04049082,900170,400,3,1,
04049082,900170,400,4,1,
04049082,900170,400,5,1,
04049082,900180,700,1,1,
04049082,900180,700,2,1,
04049082,900180,700,3,1,
04049082,900180,700,4,1,
04049082,900180,700,5,1,
04049082,980000,21908,1,1,
04049082,980000,21908,2,1,
04049082,980000,21908,3,1,
04049082,980000,21908,4,1,
04049082,980000,21908,5,1,
04049091,900000,100000,1,1,
04049091,900000,100000,2,1,
04049091,900000,100000,3,1,
04049091,900000,100000,4,1,
04049091,900000,100000,5,1,
04049091,900190,18000,1,1,
04049091,900190,18000,2,1,
04049091,900190,18000,3,1,
04049091,900190,18000,4,1,
04049091,900190,18000,5,1,
04049091,980000,118000,1,1,
04049091,980000,118000,2,1,
04049091,980000,118000,3,1,
04049091,980000,118000,4,1,
04049091,980000,118000,5,1,
04049092,900000,100000,1,1,
04049092,900000,100000,2,1,
04049092,900000,100000,3,1,
04049092,900000,100000,4,1,
04049092,900000,100000,5,1,
04049092,900190,18000,1,1,
04049092,900190,18000,2,1,
04049092,900190,18000,3,1,
04049092,900190,18000,4,1,
04049092,900190,18000,5,1,
04049092,980000,118000,1,1,
04049092,980000,118000,2,1,
04049092,980000,118000,3,1,
04049092,980000,118000,4,1,
04049092,980000,118000,5,1,
04049121,900000,165000,1,1,
04049121,900000,165000,2,1,
04049121,900000,165000,3,1,
04049121,900000,165000,4,1,
04049121,900000,165000,5,1,
04049121,980000,165000,1,1,
04049121,980000,165000,2,1,
04049121,980000,165000,3,1,
04049121,980000,165000,4,1,
04049121,980000,165000,5,1,
04049122,900000,165000,1,1,
04049122,900000,165000,2,1,
04049122,900000,165000,3,1,
04049122,900000,165000,4,1,
04049122,900000,165000,5,1,
04049122,980000,165000,1,1,
04049122,980000,165000,2,1,
04049122,980000,165000,3,1,
04049122,980000,165000,4,1,
04049122,980000,165000,5,1,
